"experiment","n","k","rep","penalty_svp","penalty_pelt","method","time","detected"
"vary_k",2000,13,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0129999999999999,14
"vary_k",2000,14,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,15
"vary_k",2000,14,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0120000000000005,15
"vary_k",2000,15,2,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,16
"vary_k",2000,15,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.011000000000001,16
"vary_k",2000,16,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,17
"vary_k",2000,16,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0120000000000005,17
"vary_k",2000,17,2,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,18
"vary_k",2000,17,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.011000000000001,18
"vary_k",2000,18,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,19
"vary_k",2000,18,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.011000000000001,19
"vary_k",2000,19,2,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,20
"vary_k",2000,19,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.011000000000001,20
"vary_k",2000,20,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,21
"vary_k",2000,20,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00999999999999979,21
"vary_k",2000,21,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,22
"vary_k",2000,21,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00999999999999979,22
"vary_k",2000,22,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,23
"vary_k",2000,22,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,23
"vary_k",2000,23,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,24
"vary_k",2000,23,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0109999999999992,24
"vary_k",2000,24,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,25
"vary_k",2000,24,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00899999999999856,25
"vary_k",2000,25,2,30.4036098381683,15.2018049190842,"PELT",0.00200000000000067,26
"vary_k",2000,25,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,26
"vary_k",2000,26,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,27
"vary_k",2000,26,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,27
"vary_k",2000,27,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,29
"vary_k",2000,27,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00799999999999912,28
"vary_k",2000,28,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,29
"vary_k",2000,28,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00799999999999912,29
"vary_k",2000,29,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,30
"vary_k",2000,29,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0080000000000009,30
"vary_k",2000,30,2,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,31
"vary_k",2000,30,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0080000000000009,31
"vary_k",2000,31,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,32
"vary_k",2000,31,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0080000000000009,32
"vary_k",2000,32,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,33
"vary_k",2000,32,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0080000000000009,33
"vary_k",2000,33,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,34
"vary_k",2000,33,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00699999999999967,34
"vary_k",2000,34,2,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,35
"vary_k",2000,34,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0080000000000009,35
"vary_k",2000,35,2,30.4036098381683,15.2018049190842,"PELT",0,36
"vary_k",2000,35,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0080000000000009,36
"vary_k",2000,36,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,37
"vary_k",2000,36,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00799999999999912,37
