"experiment","n","k","rep","noise","method","time","nsegments","mean_candidates","max_candidates","error"
"no_change",329,0,10,"student","SVP Gaussian",0.000999999999999446,24,16.258358662614,41,NA
"no_change",424,0,10,"student","SVP Gaussian",0.00100000000000033,33,17.8938679245283,76,NA
"no_change",545,0,10,"student","SVP Gaussian",0.00199999999999978,39,19.7082568807339,63,NA
"no_change",702,0,10,"student","SVP Gaussian",0.00199999999999978,32,26.8547008547008,93,NA
"no_change",903,0,10,"student","SVP Gaussian",0.00300000000000011,52,29.7884828349945,111,NA
"no_change",1162,0,10,"student","SVP Gaussian",0.00400000000000045,63,30.5619621342513,120,NA
"no_change",1495,0,10,"student","SVP Gaussian",0.00600000000000023,66,42.0588628762541,224,NA
"no_change",1923,0,10,"student","SVP Gaussian",0.00700000000000056,92,37.2132085283412,169,NA
"no_change",2474,0,10,"student","SVP Gaussian",0.00800000000000001,133,26.374696847211,99,NA
"no_change",3183,0,10,"student","SVP Gaussian",0.0110000000000001,161,34.7722274583726,145,NA
"no_change",4096,0,10,"student","SVP Gaussian",0.0140000000000002,188,32.133056640625,124,NA
"no_change",256,0,1,"student","SVP Wilcoxon",0.000999999999999446,1,128.5,256,NA
"no_change",329,0,1,"student","SVP Wilcoxon",0.00200000000000067,1,165,329,NA
"no_change",424,0,1,"student","SVP Wilcoxon",0.00199999999999978,1,212.5,424,NA
"no_change",545,0,1,"student","SVP Wilcoxon",0.00400000000000045,1,273,545,NA
"no_change",702,0,1,"student","SVP Wilcoxon",0.00600000000000023,1,351.5,702,NA
"no_change",903,0,1,"student","SVP Wilcoxon",0.00999999999999979,1,452,903,NA
"no_change",1162,0,1,"student","SVP Wilcoxon",0.0170000000000003,1,581.5,1162,NA
"no_change",1495,0,1,"student","SVP Wilcoxon",0.0290000000000008,1,748,1495,NA
"no_change",1923,0,1,"student","SVP Wilcoxon",0.0510000000000002,1,962,1923,NA
"no_change",2474,0,1,"student","SVP Wilcoxon",0.0880000000000001,1,1237.5,2474,NA
