"n","rep","time"
6826,12,0.00099999999999989
6826,13,0.00099999999999989
6826,14,0.00100000000000033
6826,15,0.00099999999999989
6826,16,0.00099999999999989
6826,17,0.00099999999999989
6826,18,0
6826,19,0.00100000000000033
6826,20,0
7899,1,0.00099999999999989
7899,2,0.00099999999999989
7899,3,0.00099999999999989
7899,4,0.00099999999999989
7899,5,0.00099999999999989
7899,6,0.00100000000000033
7899,7,0.00099999999999989
7899,8,0.00099999999999989
7899,9,0
7899,10,0.00099999999999989
7899,11,0.00099999999999989
7899,12,0.00099999999999989
7899,13,0
7899,14,0.00100000000000033
7899,15,0.00099999999999989
7899,16,0.00099999999999989
7899,17,0.00099999999999989
7899,18,0.00099999999999989
7899,19,0.00100000000000033
7899,20,0.00099999999999989
9139,1,0.00099999999999989
9139,2,0.00099999999999989
9139,3,0.00099999999999989
9139,4,0.00099999999999989
9139,5,0.00099999999999989
9139,6,0.00099999999999989
9139,7,0.00099999999999989
9139,8,0.00099999999999989
9139,9,0.00100000000000033
9139,10,0.00099999999999989
9139,11,0.00099999999999989
9139,12,0.00200000000000022
9139,13,0.00099999999999989
9139,14,0.00099999999999989
9139,15,0.00100000000000033
9139,16,0.00099999999999989
9139,17,0.00099999999999989
9139,18,0.00099999999999989
9139,19,0.00099999999999989
9139,20,0.00099999999999989
10575,1,0.00099999999999989
10575,2,0.00100000000000033
10575,3,0.00099999999999989
10575,4,0.00200000000000022
10575,5,0.00099999999999989
10575,6,0.00099999999999989
10575,7,0.00100000000000033
10575,8,0.00099999999999989
10575,9,0.00099999999999989
10575,10,0.00099999999999989
10575,11,0.00099999999999989
10575,12,0.00200000000000022
10575,13,0.00099999999999989
10575,14,0.00099999999999989
10575,15,0.00099999999999989
10575,16,0.00099999999999989
10575,17,0.00099999999999989
10575,18,0.00099999999999989
10575,19,0.00200000000000022
10575,20,0.00099999999999989
12237,1,0.00200000000000022
12237,2,0.00200000000000022
12237,3,0.00099999999999989
12237,4,0.00199999999999978
12237,5,0.00199999999999978
12237,6,0.00200000000000022
12237,7,0.00099999999999989
12237,8,0.00199999999999978
12237,9,0.00099999999999989
12237,10,0.00099999999999989
12237,11,0.00099999999999989
12237,12,0.00099999999999989
12237,13,0.00199999999999978
12237,14,0.00099999999999989
12237,15,0.00099999999999989
12237,16,0.00099999999999989
12237,17,0.00100000000000033
12237,18,0.00200000000000022
12237,19,0.00099999999999989
12237,20,0.00100000000000033
14159,1,0.00199999999999978
14159,2,0.00199999999999978
14159,3,0.00099999999999989
14159,4,0.00199999999999978
14159,5,0.00099999999999989
14159,6,0.00100000000000033
14159,7,0.00099999999999989
14159,8,0.00199999999999978
14159,9,0.00199999999999978
14159,10,0.00200000000000022
14159,11,0.00200000000000022
14159,12,0.00199999999999978
14159,13,0.00099999999999989
14159,14,0.00099999999999989
14159,15,0.00100000000000033
14159,16,0.00099999999999989
14159,17,0.00099999999999989
14159,18,0.00099999999999989
14159,19,0.00200000000000022
14159,20,0.00199999999999978
16384,1,0.00300000000000011
16384,2,0.00300000000000011
16384,3,0.00200000000000022
16384,4,0.00199999999999978
16384,5,0.00199999999999978
16384,6,0.00099999999999989
16384,7,0.00099999999999989
16384,8,0.00199999999999978
16384,9,0.00099999999999989
16384,10,0.00200000000000022
16384,11,0.00200000000000022
16384,12,0.00200000000000022
16384,13,0.00200000000000022
16384,14,0.00199999999999978
16384,15,0.00099999999999989
16384,16,0.00200000000000022
16384,17,0.00199999999999978
16384,18,0.00199999999999978
16384,19,0.00200000000000022
16384,20,0.00200000000000022
