"experiment","n","k","rep","noise","method","time","nsegments","mean_candidates","max_candidates","error"
"vary_k",2000,28,3,"student","SVP Gaussian",0.00600000000000023,140,19.395,70,NA
"vary_k",2000,29,3,"student","SVP Gaussian",0.00499999999999545,125,18.32,63,NA
"vary_k",2000,30,3,"student","SVP Gaussian",0.00600000000000023,110,22.2775,66,NA
"vary_k",2000,31,3,"student","SVP Gaussian",0.00499999999999545,114,20.945,64,NA
"vary_k",2000,32,3,"student","SVP Gaussian",0.00500000000000966,128,17.928,62,NA
"vary_k",2000,33,3,"student","SVP Gaussian",0.00600000000000023,129,17.935,60,NA
"vary_k",2000,34,3,"student","SVP Gaussian",0.00600000000000023,126,18.9955,59,NA
"vary_k",2000,35,3,"student","SVP Gaussian",0.00600000000000023,114,19.8624999999999,57,NA
"vary_k",2000,36,3,"student","SVP Gaussian",0.00600000000000023,130,18.624,55,NA
"vary_k",2000,37,3,"student","SVP Gaussian",0.00600000000000023,128,18.4815,54,NA
"vary_k",2000,38,3,"student","SVP Gaussian",0.00600000000000023,143,16.9965,52,NA
"vary_k",2000,39,3,"student","SVP Gaussian",0.00500000000000966,137,17.1125,51,NA
"vary_k",2000,40,3,"student","SVP Gaussian",0.00600000000000023,140,17.0915,50,NA
"vary_k",2000,0,4,"student","SVP Gaussian",0.00600000000000023,105,24.2905,88,NA
"vary_k",2000,1,4,"student","SVP Gaussian",0.00800000000000978,76,44.4409999999999,192,NA
"vary_k",2000,2,4,"student","SVP Gaussian",0.00600000000000023,121,28.3105000000001,144,NA
"vary_k",2000,3,4,"student","SVP Gaussian",0.00799999999999557,101,33.0230000000001,198,NA
"vary_k",2000,4,4,"student","SVP Gaussian",0.007000000000005,115,28.1375000000001,140,NA
"vary_k",2000,5,4,"student","SVP Gaussian",0.007000000000005,104,33.737,172,NA
"vary_k",2000,6,4,"student","SVP Gaussian",0.00699999999999079,106,28.7755,146,NA
"vary_k",2000,7,4,"student","SVP Gaussian",0.00600000000000023,135,24.891,109,NA
"vary_k",2000,8,4,"student","SVP Gaussian",0.00799999999999557,92,33.4869999999999,174,NA
"vary_k",2000,9,4,"student","SVP Gaussian",0.00600000000000023,102,26.372,94,NA
"vary_k",2000,10,4,"student","SVP Gaussian",0.007000000000005,123,30.852,148,NA
"vary_k",2000,11,4,"student","SVP Gaussian",0.00600000000000023,122,25.4500000000001,110,NA
