"n","replicate","PELT","PELT_nchanges","SVP","SVP_nchanges","SVP_right","SVP_right_nchanges"
3291,2,0.0120000000000005,1,0.212,1,0.00099999999999989,1
3291,3,0.00900000000000034,1,0.206,1,0.00099999999999989,1
3291,4,0.0139999999999993,1,0.215,1,0,1
3291,5,0.00999999999999801,1,0.213000000000001,1,0.00099999999999989,1
3291,6,0.00999999999999801,1,0.210000000000001,1,0.00099999999999989,1
3291,7,0.0100000000000016,1,0.211000000000002,1,0,1
3291,8,0.00999999999999801,1,0.209999999999997,1,0.00100000000000011,1
3291,9,0.0100000000000016,1,0.209,1,0,1
3291,10,0.00999999999999801,1,0.216999999999999,1,0.00099999999999989,1
3291,11,0.0119999999999969,1,0.207000000000001,1,0.00100000000000011,1
3291,12,0.0130000000000017,1,0.207000000000001,1,0.00099999999999989,1
3291,13,0.00999999999999801,1,0.207999999999998,1,0,1
3291,14,0.0139999999999993,1,0.211000000000002,1,0,1
3291,15,0.00999999999999801,1,0.210999999999999,1,0.00099999999999989,1
3291,16,0.00999999999999801,1,0.213999999999999,1,0.00099999999999989,1
3291,17,0.00999999999999801,1,0.212,1,0,1
3291,18,0.0100000000000016,1,0.201999999999998,1,0.00099999999999989,1
3291,19,0.0100000000000016,1,0.205000000000002,1,0.00100000000000011,1
3291,20,0.00900000000000034,1,0.212999999999997,1,0.00100000000000011,1
3808,1,0.0129999999999981,1,0.291,1,0.00100000000000011,1
3808,2,0.0159999999999982,1,0.279999999999998,1,0,1
3808,3,0.0139999999999993,1,0.280000000000001,1,0,1
3808,4,0.0130000000000017,1,0.292000000000002,1,0.00100000000000011,1
3808,5,0.0129999999999981,1,0.273999999999997,1,0,1
3808,6,0.0129999999999981,1,0.286999999999999,1,0.00100000000000011,1
3808,7,0.0129999999999981,1,0.276999999999997,1,0,1
3808,8,0.0159999999999982,1,0.274999999999999,1,0.00100000000000011,1
3808,9,0.0180000000000007,1,0.282,1,0,1
3808,10,0.0129999999999981,1,0.294,1,0,1
3808,11,0.0129999999999981,1,0.288,1,0,1
3808,12,0.0130000000000017,1,0.277999999999999,1,0,1
3808,13,0.0159999999999982,1,0.286999999999999,1,0.00100000000000011,1
3808,14,0.0149999999999935,1,0.285999999999994,1,0.00099999999999989,1
3808,15,0.0129999999999981,1,0.286999999999999,1,0.00100000000000011,1
3808,16,0.0129999999999981,1,0.277000000000001,1,0,1
3808,17,0.0139999999999958,1,0.288000000000004,1,0.00099999999999989,1
3808,18,0.0129999999999981,1,0.286999999999999,1,0,1
3808,19,0.0129999999999981,1,0.284999999999997,1,0,1
3808,20,0.0130000000000052,1,0.277000000000001,1,0,1
4406,1,0.0180000000000007,1,0.377000000000002,1,0,1
