"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","MSE","NumSegments"
"updown",0.5,1,"PELT",0.0704225352112676,0.625,0.126582278481013,0,22.4574268297702,71
"updown",0.5,1,"RFPOP paper",0.166666666666667,0.125,0.142857142857143,0,0.0863751460195793,6
"updown",0.5,1,"SVP MedianMood",1,0.125,0.222222222222222,0,0.0985134975130703,1
"updown",0.5,1,"SVP Wilcoxon",0.285714285714286,0.25,0.266666666666667,0,0.50918079593757,7
"updown",0.5,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.428571428571429,0.375,0.4,0,0.363162005115605,7
"updown",0.5,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.0636386769768652,1
"rand1",0.5,1,"PELT",0.051948051948052,0.5,0.0941176470588235,0,7.32793231115258,77
"rand1",0.5,1,"RFPOP paper",0.5,0.25,0.333333333333333,0,0.110394120747303,4
"rand1",0.5,1,"SVP MedianMood",0.5,0.125,0.2,0,0.134272435927818,2
"rand1",0.5,1,"SVP Wilcoxon",0.285714285714286,0.25,0.266666666666667,0,0.0386680617824683,7
"rand1",0.5,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.428571428571429,0.375,0.4,0,0.120946089415098,7
"rand1",0.5,1,"RFPOP (null-matched c=2.75)",0.666666666666667,0.25,0.363636363636364,0,0.0760983586352267,3
"none",0.6,1,"PELT",0.0121951219512195,1,0.0240963855421687,0,8.84197170410298,82
"none",0.6,1,"RFPOP paper",1,1,1,1,0.00173669818410273,1
"none",0.6,1,"SVP MedianMood",1,1,1,1,0.0427976918088221,1
"none",0.6,1,"SVP Wilcoxon",1,1,1,1,0.0427976918088221,1
"none",0.6,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",1,1,1,1,0.0427976918088221,1
"none",0.6,1,"RFPOP (null-matched c=2.75)",1,1,1,1,0.00173669818410273,1
"up",0.6,1,"PELT",0.0533333333333333,0.5,0.0963855421686747,0,5.31358981353947,75
"up",0.6,1,"RFPOP paper",0.5,0.25,0.333333333333333,0,0.108648017060135,4
"up",0.6,1,"SVP MedianMood",0.75,0.375,0.5,0,0.119059340819716,4
"up",0.6,1,"SVP Wilcoxon",0.375,0.375,0.375,1,0.133780358651594,8
"up",0.6,1,"SVP Wilcoxon TRUE/TRUE c=1.75 refined",0.285714285714286,0.25,0.266666666666667,0,0.0754502414388205,7
"up",0.6,1,"RFPOP (null-matched c=2.75)",0.5,0.25,0.333333333333333,0,0.108648017060135,4
"updown",0.6,1,"PELT",0.0344827586206897,0.25,0.0606060606060606,0,2.19517361984138,58
"updown",0.6,1,"RFPOP paper",0.5,0.375,0.428571428571429,0,0.199186741268426,6
