"experiment","n","k","rep","method","time","detected"
"vary_n",420,0,3,"PELT",0.00100000000000033,37
"vary_n",420,0,3,"SVP Wilcoxon",0,30
"vary_n",420,0,3,"SVP MedianMood",0,1
"vary_n",420,0,3,"SVP BIC multiscale",0.00100000000000033,43
"vary_n",420,0,4,"PELT",0.000999999999999446,49
"vary_n",420,0,4,"SVP Wilcoxon",0,30
"vary_n",420,0,4,"SVP MedianMood",0.0279999999999996,2
"vary_n",420,0,4,"SVP BIC multiscale",0.000999999999999446,54
"vary_n",420,0,5,"PELT",0.00100000000000033,35
"vary_n",420,0,5,"SVP Wilcoxon",0,30
"vary_n",420,0,5,"SVP MedianMood",0.0279999999999996,4
"vary_n",420,0,5,"SVP BIC multiscale",0,39
"vary_n",420,0,6,"PELT",0.00100000000000033,46
"vary_n",420,0,6,"SVP Wilcoxon",0.00100000000000033,29
"vary_n",420,0,6,"SVP MedianMood",0,1
"vary_n",420,0,6,"SVP BIC multiscale",0,47
"vary_n",420,0,7,"PELT",0.000999999999999446,35
"vary_n",420,0,7,"SVP Wilcoxon",0,27
"vary_n",420,0,7,"SVP MedianMood",0.00699999999999967,2
"vary_n",420,0,7,"SVP BIC multiscale",0.00100000000000122,42
"vary_n",420,0,8,"PELT",0.00100000000000122,30
"vary_n",420,0,8,"SVP Wilcoxon",0,29
"vary_n",420,0,8,"SVP MedianMood",0,1
"vary_n",420,0,8,"SVP BIC multiscale",0.000999999999999446,36
"vary_n",420,0,9,"PELT",0.00100000000000122,27
"vary_n",420,0,9,"SVP Wilcoxon",0,30
"vary_n",420,0,9,"SVP MedianMood",0,1
"vary_n",420,0,9,"SVP BIC multiscale",0.000999999999999446,36
"vary_n",420,0,10,"PELT",0.00100000000000122,41
"vary_n",420,0,10,"SVP Wilcoxon",0,28
"vary_n",420,0,10,"SVP MedianMood",0,1
"vary_n",420,0,10,"SVP BIC multiscale",0.00100000000000122,49
"vary_n",476,0,1,"PELT",0.000999999999999446,35
"vary_n",476,0,1,"SVP Wilcoxon",0.000999999999999446,33
"vary_n",476,0,1,"SVP MedianMood",0.000999999999999446,1
"vary_n",476,0,1,"SVP BIC multiscale",0.000999999999999446,42
"vary_n",476,0,2,"PELT",0.00100000000000122,32
"vary_n",476,0,2,"SVP Wilcoxon",0,31
"vary_n",476,0,2,"SVP MedianMood",0,1
"vary_n",476,0,2,"SVP BIC multiscale",0.00100000000000122,44
"vary_n",476,0,3,"PELT",0,35
"vary_n",476,0,3,"SVP Wilcoxon",0,34
"vary_n",476,0,3,"SVP MedianMood",0,1
"vary_n",476,0,3,"SVP BIC multiscale",0.000999999999999446,46
"vary_n",476,0,4,"PELT",0.000999999999999446,45
"vary_n",476,0,4,"SVP Wilcoxon",0.000999999999999446,31
"vary_n",476,0,4,"SVP MedianMood",0,1
"vary_n",476,0,4,"SVP BIC multiscale",0.000999999999999446,54
"vary_n",476,0,5,"PELT",0.00100000000000122,49
"vary_n",476,0,5,"SVP Wilcoxon",0,30
"vary_n",476,0,5,"SVP MedianMood",0.00799999999999912,2
"vary_n",476,0,5,"SVP BIC multiscale",0.000999999999999446,50
"vary_n",476,0,6,"PELT",0.000999999999999446,45
"vary_n",476,0,6,"SVP Wilcoxon",0,32
"vary_n",476,0,6,"SVP MedianMood",0,1
"vary_n",476,0,6,"SVP BIC multiscale",0.00100000000000122,57
"vary_n",476,0,7,"PELT",0.000999999999999446,53
"vary_n",476,0,7,"SVP Wilcoxon",0,33
"vary_n",476,0,7,"SVP MedianMood",0.0389999999999997,2
"vary_n",476,0,7,"SVP BIC multiscale",0.00100000000000122,60
"vary_n",476,0,8,"PELT",0.000999999999999446,47
"vary_n",476,0,8,"SVP Wilcoxon",0,33
"vary_n",476,0,8,"SVP MedianMood",0.016,2
"vary_n",476,0,8,"SVP BIC multiscale",0.00100000000000122,47
"vary_n",476,0,9,"PELT",0.000999999999999446,27
"vary_n",476,0,9,"SVP Wilcoxon",0.000999999999999446,32
"vary_n",476,0,9,"SVP MedianMood",0.00100000000000122,1
"vary_n",476,0,9,"SVP BIC multiscale",0.000999999999999446,44
"vary_n",476,0,10,"PELT",0,28
"vary_n",476,0,10,"SVP Wilcoxon",0.000999999999999446,34
"vary_n",476,0,10,"SVP MedianMood",0,1
"vary_n",476,0,10,"SVP BIC multiscale",0.00100000000000122,37
"vary_n",538,0,1,"PELT",0.000999999999999446,54
"vary_n",538,0,1,"SVP Wilcoxon",0.00100000000000122,38
"vary_n",538,0,1,"SVP MedianMood",0.016,2
"vary_n",538,0,1,"SVP BIC multiscale",0.000999999999999446,54
"vary_n",538,0,2,"PELT",0.000999999999999446,38
"vary_n",538,0,2,"SVP Wilcoxon",0,34
"vary_n",538,0,2,"SVP MedianMood",0,1
"vary_n",538,0,2,"SVP BIC multiscale",0.000999999999999446,52
"vary_n",538,0,3,"PELT",0.00100000000000122,43
"vary_n",538,0,3,"SVP Wilcoxon",0.00100000000000122,39
"vary_n",538,0,3,"SVP MedianMood",0,1
"vary_n",538,0,3,"SVP BIC multiscale",0.00200000000000067,50
"vary_n",538,0,4,"PELT",0.00100000000000122,49
"vary_n",538,0,4,"SVP Wilcoxon",0,34
"vary_n",538,0,4,"SVP MedianMood",0,1
"vary_n",538,0,4,"SVP BIC multiscale",0.00200000000000067,53
"vary_n",538,0,5,"PELT",0.000999999999999446,47
"vary_n",538,0,5,"SVP Wilcoxon",0.00100000000000122,36
"vary_n",538,0,5,"SVP MedianMood",0.0350000000000001,2
"vary_n",538,0,5,"SVP BIC multiscale",0.000999999999999446,56
"vary_n",538,0,6,"PELT",0.00100000000000122,56
"vary_n",538,0,6,"SVP Wilcoxon",0,37
"vary_n",538,0,6,"SVP MedianMood",0,1
"vary_n",538,0,6,"SVP BIC multiscale",0.00100000000000122,64
"vary_n",538,0,7,"PELT",0.000999999999999446,61
"vary_n",538,0,7,"SVP Wilcoxon",0,36
"vary_n",538,0,7,"SVP MedianMood",0.000999999999999446,1
"vary_n",538,0,7,"SVP BIC multiscale",0,70
"vary_n",538,0,8,"PELT",0.00100000000000122,55
"vary_n",538,0,8,"SVP Wilcoxon",0,37
"vary_n",538,0,8,"SVP MedianMood",0,1
"vary_n",538,0,8,"SVP BIC multiscale",0.000999999999999446,63
"vary_n",538,0,9,"PELT",0.00100000000000122,52
"vary_n",538,0,9,"SVP Wilcoxon",0,36
"vary_n",538,0,9,"SVP MedianMood",0,1
"vary_n",538,0,9,"SVP BIC multiscale",0.00100000000000122,58
"vary_n",538,0,10,"PELT",0.000999999999999446,51
"vary_n",538,0,10,"SVP Wilcoxon",0,36
"vary_n",538,0,10,"SVP MedianMood",0,1
"vary_n",538,0,10,"SVP BIC multiscale",0.000999999999999446,64
"vary_n",609,0,1,"PELT",0.000999999999999446,58
"vary_n",609,0,1,"SVP Wilcoxon",0,42
"vary_n",609,0,1,"SVP MedianMood",0,1
"vary_n",609,0,1,"SVP BIC multiscale",0.000999999999999446,71
"vary_n",609,0,2,"PELT",0.000999999999999446,46
"vary_n",609,0,2,"SVP Wilcoxon",0.000999999999999446,43
"vary_n",609,0,2,"SVP MedianMood",0.0429999999999993,2
"vary_n",609,0,2,"SVP BIC multiscale",0.00100000000000122,58
"vary_n",609,0,3,"PELT",0.000999999999999446,53
"vary_n",609,0,3,"SVP Wilcoxon",0,42
"vary_n",609,0,3,"SVP MedianMood",0.0790000000000006,2
"vary_n",609,0,3,"SVP BIC multiscale",0.000999999999999446,60
"vary_n",609,0,4,"PELT",0,51
"vary_n",609,0,4,"SVP Wilcoxon",0.00100000000000122,43
"vary_n",609,0,4,"SVP MedianMood",0,1
"vary_n",609,0,4,"SVP BIC multiscale",0.00100000000000122,63
"vary_n",609,0,5,"PELT",0.00200000000000067,53
"vary_n",609,0,5,"SVP Wilcoxon",0.000999999999999446,39
"vary_n",609,0,5,"SVP MedianMood",0.00100000000000122,1
"vary_n",609,0,5,"SVP BIC multiscale",0.00200000000000067,66
"vary_n",609,0,6,"PELT",0.000999999999999446,39
"vary_n",609,0,6,"SVP Wilcoxon",0,40
"vary_n",609,0,6,"SVP MedianMood",0,1
"vary_n",609,0,6,"SVP BIC multiscale",0.00200000000000067,53
"vary_n",609,0,7,"PELT",0.00100000000000122,46
"vary_n",609,0,7,"SVP Wilcoxon",0,41
"vary_n",609,0,7,"SVP MedianMood",0.0180000000000007,2
"vary_n",609,0,7,"SVP BIC multiscale",0.000999999999999446,62
"vary_n",609,0,8,"PELT",0.00100000000000122,60
"vary_n",609,0,8,"SVP Wilcoxon",0,41
"vary_n",609,0,8,"SVP MedianMood",0,1
"vary_n",609,0,8,"SVP BIC multiscale",0.00100000000000122,68
"vary_n",609,0,9,"PELT",0.000999999999999446,39
"vary_n",609,0,9,"SVP Wilcoxon",0.000999999999999446,43
"vary_n",609,0,9,"SVP MedianMood",0,1
"vary_n",609,0,9,"SVP BIC multiscale",0.000999999999999446,42
"vary_n",609,0,10,"PELT",0,41
"vary_n",609,0,10,"SVP Wilcoxon",0,41
"vary_n",609,0,10,"SVP MedianMood",0.000999999999999446,1
"vary_n",609,0,10,"SVP BIC multiscale",0.00200000000000067,55
"vary_n",690,0,1,"PELT",0.000999999999999446,64
"vary_n",690,0,1,"SVP Wilcoxon",0,46
"vary_n",690,0,1,"SVP MedianMood",0.00100000000000122,1
"vary_n",690,0,1,"SVP BIC multiscale",0.000999999999999446,78
"vary_n",690,0,2,"PELT",0.000999999999999446,53
"vary_n",690,0,2,"SVP Wilcoxon",0,45
"vary_n",690,0,2,"SVP MedianMood",0,1
"vary_n",690,0,2,"SVP BIC multiscale",0.00200000000000067,70
"vary_n",690,0,3,"PELT",0.000999999999999446,61
"vary_n",690,0,3,"SVP Wilcoxon",0,44
"vary_n",690,0,3,"SVP MedianMood",0,1
"vary_n",690,0,3,"SVP BIC multiscale",0.00100000000000122,70
"vary_n",690,0,4,"PELT",0.00100000000000122,60
"vary_n",690,0,4,"SVP Wilcoxon",0.000999999999999446,44
"vary_n",690,0,4,"SVP MedianMood",0.000999999999999446,1
"vary_n",690,0,4,"SVP BIC multiscale",0.00200000000000067,70
"vary_n",690,0,5,"PELT",0.00100000000000122,63
"vary_n",690,0,5,"SVP Wilcoxon",0,44
"vary_n",690,0,5,"SVP MedianMood",0.0579999999999998,2
"vary_n",690,0,5,"SVP BIC multiscale",0.000999999999999446,73
"vary_n",690,0,6,"PELT",0.00100000000000122,61
"vary_n",690,0,6,"SVP Wilcoxon",0,44
"vary_n",690,0,6,"SVP MedianMood",0,1
"vary_n",690,0,6,"SVP BIC multiscale",0.00200000000000067,76
"vary_n",690,0,7,"PELT",0.000999999999999446,74
"vary_n",690,0,7,"SVP Wilcoxon",0.000999999999999446,45
"vary_n",690,0,7,"SVP MedianMood",0.00100000000000122,1
