"pattern","jump","method","F1_new","Precision_new","Recall_new","CorrectNumCP_new","MSE_new","NumSegments_new","F1_old","Precision_old","Recall_old","CorrectNumCP_old","MSE_old","NumSegments_old","delta_F1","delta_Precision","delta_Recall","delta_CorrectNumCP","delta_MSE","delta_NumSegments"
"none",3.4,"SVP AR1Focus",1,1,1,1,0.0135541795202618,1,1,1,1,1,0.0135541795202618,1,0,0,0,0,0,0
"none",3.6,"DeCAFS AR1",0.99,0.99,0.99,0.99,0.0146660194375966,1.01,0.96,0.96,0.96,0.96,0.0152308733608687,1.04,0.03,0.03,0.03,0.03,-0.000564853923272074,-0.03
"none",3.6,"PELT AR1 approximate",0.99,0.99,0.99,0.99,0.0171920577680529,1.01,1,1,1,1,0.0141126707931972,1,-0.01,-0.01,-0.01,-0.01,0.00307938697485565,0.01
"none",3.6,"PELT inflated",0.99,0.99,0.99,0.99,0.0172086369162354,1.01,0.99,0.99,0.99,0.99,0.0172086369162354,1.01,0,0,0,0,0,0
"none",3.6,"SVP AR1Focus",0.99,0.99,0.99,0.99,0.0172086369162354,1.01,1,1,1,1,0.0141126707931972,1,-0.01,-0.01,-0.01,-0.01,0.00309596612303819,0.01
"none",3.8,"DeCAFS AR1",1,1,1,1,0.0127074684297677,1,0.93,0.93,0.93,0.93,0.015863327541783,1.07,0.0700000000000001,0.0700000000000001,0.0700000000000001,0.0700000000000001,-0.00315585911201528,-0.0700000000000001
"none",3.8,"PELT AR1 approximate",1,1,1,1,0.0127074684297677,1,1,1,1,1,0.0127074684297677,1,0,0,0,0,0,0
"none",3.8,"PELT inflated",1,1,1,1,0.0127074684297677,1,1,1,1,1,0.0127074684297677,1,0,0,0,0,0,0
"none",3.8,"SVP AR1Focus",0.99,0.99,0.99,0.99,0.01289887736379,1.01,1,1,1,1,0.0127074684297677,1,-0.01,-0.01,-0.01,-0.01,0.000191408934022291,0.01
"none",4,"DeCAFS AR1",1,1,1,1,0.0113760196341145,1,0.96,0.96,0.96,0.96,0.0134855543835175,1.04,0.04,0.04,0.04,0.04,-0.00210953474940302,-0.04
"none",4,"PELT AR1 approximate",0.99,0.99,0.99,0.99,0.0129372495950942,1.01,1,1,1,1,0.0113760196341145,1,-0.01,-0.01,-0.01,-0.01,0.00156122996097972,0.01
"none",4,"PELT inflated",1,1,1,1,0.0113760196341145,1,1,1,1,1,0.0113760196341145,1,0,0,0,0,0,0
"none",4,"SVP AR1Focus",0.99,0.99,0.99,0.99,0.0116011033397642,1.01,1,1,1,1,0.0113760196341145,1,-0.01,-0.01,-0.01,-0.01,0.000225083705649708,0.01
"none",4.2,"DeCAFS AR1",1,1,1,1,0.012793758415638,1,0.96,0.96,0.96,0.96,0.0155190688564357,1.04,0.04,0.04,0.04,0.04,-0.00272531044079772,-0.04
"none",4.2,"PELT AR1 approximate",0.99,0.99,0.99,0.99,0.0141382346680397,1.01,1,1,1,1,0.012793758415638,1,-0.01,-0.01,-0.01,-0.01,0.00134447625240167,0.01
"none",4.2,"PELT inflated",1,1,1,1,0.012793758415638,1,1,1,1,1,0.012793758415638,1,0,0,0,0,0,0
"none",4.2,"SVP AR1Focus",1,1,1,1,0.012793758415638,1,1,1,1,1,0.012793758415638,1,0,0,0,0,0,0
