"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"up",1.4,1,"SVP AR1Focus",1,0.375,0.545454545454545,0,NA,1.20287994352177,3
"up",1.4,1,"SVP AR1Focus multiscale",0.416666666666667,0.625,0.5,0,NA,0.742889547594942,12
"updown",1.4,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.537129088880662,1
"updown",1.4,1,"PELT AR1 approximate",0.272727272727273,0.375,0.315789473684211,0,NA,0.672975945623361,11
"updown",1.4,1,"DeCAFS AR1",1,0.25,0.4,0,NA,0.481699597525947,2
"updown",1.4,1,"SVP AR1Focus",0.5,0.125,0.2,0,NA,0.514555607547989,2
"updown",1.4,1,"SVP AR1Focus multiscale",0.25,0.375,0.3,0,NA,0.692092706379847,12
"rand1",1.4,1,"PELT inflated",1,0.5,0.666666666666667,0,NA,0.995104040482113,4
"rand1",1.4,1,"PELT AR1 approximate",0.75,0.75,0.75,1,78,0.69288438506061,8
"rand1",1.4,1,"DeCAFS AR1",1,0.625,0.769230769230769,0,NA,0.567638261171553,5
"rand1",1.4,1,"SVP AR1Focus",1,0.375,0.545454545454545,0,NA,0.902399156842706,3
"rand1",1.4,1,"SVP AR1Focus multiscale",0.384615384615385,0.625,0.476190476190476,0,NA,0.706912727184033,13
"none",1.5,1,"PELT inflated",1,1,1,1,NA,0.159040523695943,1
"none",1.5,1,"PELT AR1 approximate",0.166666666666667,1,0.285714285714286,0,NA,0.672041577346884,6
"none",1.5,1,"DeCAFS AR1",1,1,1,1,NA,0.159040523695943,1
"none",1.5,1,"SVP AR1Focus",1,1,1,1,NA,0.159040523695943,1
"none",1.5,1,"SVP AR1Focus multiscale",0.0769230769230769,1,0.142857142857143,0,NA,0.873905523200962,13
"up",1.5,1,"PELT inflated",0.75,0.375,0.5,0,NA,1.06998912791009,4
"up",1.5,1,"PELT AR1 approximate",0.75,0.75,0.75,1,79,0.936542683945859,8
"up",1.5,1,"DeCAFS AR1",0.8,0.5,0.615384615384615,0,NA,0.972489468079718,5
"up",1.5,1,"SVP AR1Focus",0.75,0.375,0.5,0,NA,1.06998912791009,4
"up",1.5,1,"SVP AR1Focus multiscale",0.545454545454545,0.75,0.631578947368421,0,NA,0.720749152480053,11
"updown",1.5,1,"PELT inflated",0.5,0.125,0.2,0,NA,0.718482939006416,2
"updown",1.5,1,"PELT AR1 approximate",0.333333333333333,0.25,0.285714285714286,0,NA,0.7600636170934,6
"updown",1.5,1,"DeCAFS AR1",0.5,0.125,0.2,0,NA,0.718482939006416,2
"updown",1.5,1,"SVP AR1Focus",0.5,0.125,0.2,0,NA,0.718482939006416,2
"updown",1.5,1,"SVP AR1Focus multiscale",0.444444444444444,0.5,0.470588235294118,0,NA,0.687568774380982,9
"rand1",1.5,1,"PELT inflated",0.666666666666667,0.25,0.363636363636364,0,NA,0.890543981715058,3
"rand1",1.5,1,"PELT AR1 approximate",0.3,0.375,0.333333333333333,0,NA,0.671878533040411,10
"rand1",1.5,1,"DeCAFS AR1",0.75,0.375,0.5,0,NA,0.677886399042432,4
"rand1",1.5,1,"SVP AR1Focus",0.5,0.125,0.2,0,NA,1.32563906672065,2
"rand1",1.5,1,"SVP AR1Focus multiscale",0.214285714285714,0.375,0.272727272727273,0,NA,0.913674805537102,14
"none",1.6,1,"PELT inflated",1,1,1,1,NA,0.020410420358052,1
"none",1.6,1,"PELT AR1 approximate",0.2,1,0.333333333333333,0,NA,0.308911354302033,5
"none",1.6,1,"DeCAFS AR1",1,1,1,1,NA,0.020410420358052,1
"none",1.6,1,"SVP AR1Focus",1,1,1,1,NA,0.020410420358052,1
"none",1.6,1,"SVP AR1Focus multiscale",0.0909090909090909,1,0.166666666666667,0,NA,0.461309644245951,11
"up",1.6,1,"PELT inflated",0.25,0.125,0.166666666666667,0,NA,1.74231913988981,4
"up",1.6,1,"PELT AR1 approximate",0.25,0.25,0.25,1,95,1.35886853949237,8
"up",1.6,1,"DeCAFS AR1",0.166666666666667,0.125,0.142857142857143,0,NA,1.35104073191723,6
"up",1.6,1,"SVP AR1Focus",0.25,0.125,0.166666666666667,0,NA,1.74231913988981,4
"up",1.6,1,"SVP AR1Focus multiscale",0.142857142857143,0.25,0.181818181818182,0,NA,1.15588053723231,14
"updown",1.6,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.640898001120705,1
"updown",1.6,1,"PELT AR1 approximate",0.555555555555556,0.625,0.588235294117647,0,NA,0.537093074111738,9
"updown",1.6,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.640898001120705,1
"updown",1.6,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.640898001120705,1
"updown",1.6,1,"SVP AR1Focus multiscale",0.333333333333333,0.5,0.4,0,NA,0.57127734012119,12
"rand1",1.6,1,"PELT inflated",0.666666666666667,0.25,0.363636363636364,0,NA,1.17312996559851,3
"rand1",1.6,1,"PELT AR1 approximate",0.4,0.5,0.444444444444444,0,NA,0.914181189574549,10
"rand1",1.6,1,"DeCAFS AR1",0.666666666666667,0.25,0.363636363636364,0,NA,1.22691872196262,3
"rand1",1.6,1,"SVP AR1Focus",0.75,0.375,0.5,0,NA,1.12344017008574,4
"rand1",1.6,1,"SVP AR1Focus multiscale",0.333333333333333,0.5,0.4,0,NA,0.809861552638891,12
"none",1.7,1,"PELT inflated",1,1,1,1,NA,0.0753158705496334,1
"none",1.7,1,"PELT AR1 approximate",0.25,1,0.4,0,NA,0.381526088963615,4
"none",1.7,1,"DeCAFS AR1",1,1,1,1,NA,0.0753158705496334,1
"none",1.7,1,"SVP AR1Focus",1,1,1,1,NA,0.0753158705496334,1
"none",1.7,1,"SVP AR1Focus multiscale",0.0909090909090909,1,0.166666666666667,0,NA,0.717919448944083,11
"up",1.7,1,"PELT inflated",0.2,0.125,0.153846153846154,0,NA,1.22146930269588,5
"up",1.7,1,"PELT AR1 approximate",0.333333333333333,0.25,0.285714285714286,0,NA,0.937402736104666,6
"up",1.7,1,"DeCAFS AR1",0.333333333333333,0.25,0.285714285714286,0,NA,0.937402736104666,6
"up",1.7,1,"SVP AR1Focus",0.25,0.125,0.166666666666667,0,NA,1.66219082928906,4
"up",1.7,1,"SVP AR1Focus multiscale",0.363636363636364,0.5,0.421052631578947,0,NA,0.958596128154741,11
"updown",1.7,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.727681121049589,1
"updown",1.7,1,"PELT AR1 approximate",0.2,0.25,0.222222222222222,0,NA,1.1751028445652,10
"updown",1.7,1,"DeCAFS AR1",0.5,0.125,0.2,0,NA,0.765388472576809,2
"updown",1.7,1,"SVP AR1Focus",0.5,0.125,0.2,0,NA,0.827446671716618,2
"updown",1.7,1,"SVP AR1Focus multiscale",0.153846153846154,0.25,0.19047619047619,0,NA,1.16235290442149,13
"rand1",1.7,1,"PELT inflated",0.5,0.375,0.428571428571429,0,NA,0.532634997207488,6
"rand1",1.7,1,"PELT AR1 approximate",0.625,0.625,0.625,1,157,0.500576828749827,8
"rand1",1.7,1,"DeCAFS AR1",0.666666666666667,0.5,0.571428571428572,0,NA,0.476222865398938,6
"rand1",1.7,1,"SVP AR1Focus",0.333333333333333,0.125,0.181818181818182,0,NA,1.04363452990903,3
"rand1",1.7,1,"SVP AR1Focus multiscale",0.5,0.75,0.6,0,NA,0.807011165971022,12
"none",1.8,1,"PELT inflated",1,1,1,1,NA,0.00720972073402357,1
"none",1.8,1,"PELT AR1 approximate",0.25,1,0.4,0,NA,0.282314313684827,4
"none",1.8,1,"DeCAFS AR1",1,1,1,1,NA,0.00720972073402357,1
"none",1.8,1,"SVP AR1Focus",1,1,1,1,NA,0.00720972073402357,1
"none",1.8,1,"SVP AR1Focus multiscale",0.0714285714285714,1,0.133333333333333,0,NA,0.672791441015234,14
"up",1.8,1,"PELT inflated",0.6,0.375,0.461538461538462,0,NA,1.02170560392708,5
"up",1.8,1,"PELT AR1 approximate",0.272727272727273,0.375,0.315789473684211,0,NA,1.6502467009978,11
"up",1.8,1,"DeCAFS AR1",0.6,0.375,0.461538461538462,0,NA,1.02239086806897,5
"up",1.8,1,"SVP AR1Focus",0.6,0.375,0.461538461538462,0,NA,1.02170560392708,5
"up",1.8,1,"SVP AR1Focus multiscale",0.307692307692308,0.5,0.380952380952381,0,NA,1.47921754320587,13
"updown",1.8,1,"PELT inflated",0.5,0.25,0.333333333333333,0,NA,1.24275463263979,4
"updown",1.8,1,"PELT AR1 approximate",0.7,0.875,0.777777777777778,0,NA,0.625291751903699,10
"updown",1.8,1,"DeCAFS AR1",1,0.75,0.857142857142857,0,NA,0.788367596847701,6
