"method","candidate","null_f1","null_f1_lower","null_f1_upper","recovered_one_segment","mean_segments","reps","n","rho","tolerance","stage","target_f1","target_difference","selected","calibration_reps","validation_reps","calibration_seed","validation_seed","target_nominal","seed"
"DeCAFS AR1",5.5,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",5.75,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",6,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",6.25,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",6.5,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",6.75,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",7,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",7.25,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",7.5,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",7.75,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",8,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",0.5,0.733,0.70472709900461,0.759489631541121,733,1.575,1000,600,0.8,5,"calibration",0.995,-0.262,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",0.55,0.847,0.823363445235336,0.867980784375689,847,1.282,1000,600,0.8,5,"calibration",0.995,-0.148,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",0.6,0.916,0.897174950617783,0.931641186322236,916,1.137,1000,600,0.8,5,"calibration",0.995,-0.079,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",0.65,0.954,0.939187796058381,0.965337507236735,954,1.067,1000,600,0.8,5,"calibration",0.995,-0.041,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",0.7,0.973,0.96100126924696,0.981378617225705,973,1.037,1000,600,0.8,5,"calibration",0.995,-0.022,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",0.75,0.986,0.976637965882464,0.991642424869576,986,1.016,1000,600,0.8,5,"calibration",0.995,-0.00900000000000001,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",0.8,0.99,0.981690531129685,0.994559245554471,990,1.011,1000,600,0.8,5,"calibration",0.995,-0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",0.85,0.993,0.985621684534233,0.996605131599009,993,1.008,1000,600,0.8,5,"calibration",0.995,-0.002,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",0.9,0.996,0.989760443722738,0.998443411859592,996,1.004,1000,600,0.8,5,"calibration",0.995,0.001,TRUE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",0.95,0.996,0.989760443722738,0.998443411859592,996,1.004,1000,600,0.8,5,"calibration",0.995,0.001,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1,0.997,0.991216985946497,0.998979216118861,997,1.003,1000,600,0.8,5,"calibration",0.995,0.002,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.05,0.997,0.991216985946497,0.998979216118861,997,1.003,1000,600,0.8,5,"calibration",0.995,0.002,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.1,0.999,0.994357441402042,0.999823453629374,999,1.001,1000,600,0.8,5,"calibration",0.995,0.004,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.15,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.2,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.25,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.3,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.35,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.4,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.45,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.5,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.55,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.6,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.65,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.7,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.75,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.8,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.85,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.9,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",1.95,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.05,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.1,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.15,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.2,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.25,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.3,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.35,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.4,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.45,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.5,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.55,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.6,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.65,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.7,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.75,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.8,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.85,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.9,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",2.95,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.05,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.1,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.15,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.2,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.25,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.3,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.35,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.4,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.45,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.5,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.55,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.6,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.65,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.7,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.75,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.8,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.85,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.9,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",3.95,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"PELT AR1 approximate",4,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1,0.373,0.343566037964227,0.403405958691104,373,1.852,1000,600,0.8,5,"calibration",0.995,-0.622,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.05,0.473,0.442217879468081,0.503988765490139,473,1.655,1000,600,0.8,5,"calibration",0.995,-0.522,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.1,0.579,0.548154303565799,0.609241068593483,579,1.497,1000,600,0.8,5,"calibration",0.995,-0.416,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.15,0.655,0.624994209357187,0.683819495512291,655,1.397,1000,600,0.8,5,"calibration",0.995,-0.34,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.2,0.715,0.686240270836282,0.742114223014929,715,1.316,1000,600,0.8,5,"calibration",0.995,-0.28,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.25,0.777,0.750168106027899,0.801711869771104,777,1.241,1000,600,0.8,5,"calibration",0.995,-0.218,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.3,0.817,0.791836676289063,0.839737158831095,817,1.193,1000,600,0.8,5,"calibration",0.995,-0.178,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.35,0.855,0.831817937703775,0.875465063771481,855,1.152,1000,600,0.8,5,"calibration",0.995,-0.14,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.4,0.89,0.869094501053124,0.907920627328143,890,1.114,1000,600,0.8,5,"calibration",0.995,-0.105,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.45,0.91,0.890658207356928,0.926203850684917,910,1.092,1000,600,0.8,5,"calibration",0.995,-0.085,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.5,0.929,0.911386336569845,0.943330304649549,929,1.072,1000,600,0.8,5,"calibration",0.995,-0.0659999999999999,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.55,0.942,0.925750423733767,0.954866721765002,942,1.058,1000,600,0.8,5,"calibration",0.995,-0.053,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.6,0.957,0.942580996155916,0.967921346588287,957,1.043,1000,600,0.8,5,"calibration",0.995,-0.038,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.65,0.964,0.950564339532792,0.973884428592613,964,1.036,1000,600,0.8,5,"calibration",0.995,-0.031,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.7,0.976,0.964537094388389,0.983819831533363,976,1.024,1000,600,0.8,5,"calibration",0.995,-0.019,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.75,0.979,0.968109704938762,0.986224260432076,979,1.021,1000,600,0.8,5,"calibration",0.995,-0.016,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.8,0.984,0.97416793978826,0.990127757997723,984,1.016,1000,600,0.8,5,"calibration",0.995,-0.011,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.85,0.991,0.982984183834662,0.995257939332523,991,1.009,1000,600,0.8,5,"calibration",0.995,-0.004,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.9,0.993,0.985621684534233,0.996605131599009,993,1.007,1000,600,0.8,5,"calibration",0.995,-0.002,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",1.95,0.995,0.988349044626625,0.997862464472676,995,1.005,1000,600,0.8,5,"calibration",0.995,0,TRUE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2,0.996,0.989760443722738,0.998443411859592,996,1.004,1000,600,0.8,5,"calibration",0.995,0.001,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.05,0.996,0.989760443722738,0.998443411859592,996,1.004,1000,600,0.8,5,"calibration",0.995,0.001,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.1,0.997,0.991216985946497,0.998979216118861,997,1.003,1000,600,0.8,5,"calibration",0.995,0.002,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.15,0.997,0.991216985946497,0.998979216118861,997,1.003,1000,600,0.8,5,"calibration",0.995,0.002,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.2,0.998,0.992737192136508,0.999451356411879,998,1.002,1000,600,0.8,5,"calibration",0.995,0.003,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.25,0.998,0.992737192136508,0.999451356411879,998,1.002,1000,600,0.8,5,"calibration",0.995,0.003,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.3,0.999,0.994357441402042,0.999823453629374,999,1.001,1000,600,0.8,5,"calibration",0.995,0.004,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.35,0.999,0.994357441402042,0.999823453629374,999,1.001,1000,600,0.8,5,"calibration",0.995,0.004,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.4,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.45,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.5,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.55,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.6,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.65,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.7,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.75,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.8,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.85,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.9,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",2.95,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.05,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.1,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.15,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.2,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.25,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.3,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.35,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.4,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.45,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.5,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.55,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.6,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.65,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.7,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.75,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.8,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.85,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.9,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",3.95,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",4,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",4.05,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",4.1,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",4.15,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"SVP AR1Focus",4.2,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
