"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"up",1.6,1,"DeCAFS AR1",1,0.75,0.857142857142857,0,NA,0.43762976252612,6
"up",1.6,1,"SVP AR1Focus multiscale",0.75,0.375,0.5,0,NA,1.03444995944914,4
"updown",1.6,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.640978021776095,1
"updown",1.6,1,"PELT AR1 approximate",1,0.125,0.222222222222222,0,NA,0.640978021776095,1
"updown",1.6,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.640978021776095,1
"updown",1.6,1,"DeCAFS AR1",1,0.25,0.4,0,NA,0.549588433513186,2
"updown",1.6,1,"SVP AR1Focus multiscale",1,0.25,0.4,0,NA,0.549588433513186,2
"rand1",1.6,1,"PELT inflated",1,0.375,0.545454545454545,0,NA,0.750996716742133,3
"rand1",1.6,1,"PELT AR1 approximate",1,0.75,0.857142857142857,0,NA,0.0667025770509266,6
"rand1",1.6,1,"SVP AR1Focus",1,0.25,0.4,0,NA,1.16189632447818,2
"rand1",1.6,1,"DeCAFS AR1",1,0.375,0.545454545454545,0,NA,0.750996716742133,3
"rand1",1.6,1,"SVP AR1Focus multiscale",1,0.75,0.857142857142857,0,NA,0.0667025770509266,6
"none",1.7,1,"PELT inflated",1,1,1,1,NA,0.0331444968912721,1
"none",1.7,1,"PELT AR1 approximate",1,1,1,1,NA,0.0331444968912721,1
"none",1.7,1,"SVP AR1Focus",1,1,1,1,NA,0.0331444968912721,1
"none",1.7,1,"DeCAFS AR1",1,1,1,1,NA,0.0331444968912721,1
"none",1.7,1,"SVP AR1Focus multiscale",1,1,1,1,NA,0.0331444968912721,1
"up",1.7,1,"PELT inflated",0.6,0.375,0.461538461538462,0,NA,0.846815904692532,5
"up",1.7,1,"PELT AR1 approximate",0.666666666666667,0.5,0.571428571428572,0,NA,0.566756276454163,6
"up",1.7,1,"SVP AR1Focus",1,0.375,0.545454545454545,0,NA,1.70946248143799,3
"up",1.7,1,"DeCAFS AR1",0.5,0.25,0.333333333333333,0,NA,1.37929876385764,4
"up",1.7,1,"SVP AR1Focus multiscale",0.666666666666667,0.5,0.571428571428572,0,NA,0.566756276454163,6
"updown",1.7,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.723727008189639,1
"updown",1.7,1,"PELT AR1 approximate",1,0.125,0.222222222222222,0,NA,0.723727008189639,1
"updown",1.7,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.723727008189639,1
"updown",1.7,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.723727008189639,1
"updown",1.7,1,"SVP AR1Focus multiscale",0.333333333333333,0.125,0.181818181818182,0,NA,0.693364516282023,3
"rand1",1.7,1,"PELT inflated",1,0.5,0.666666666666667,0,NA,0.549149507348715,4
"rand1",1.7,1,"PELT AR1 approximate",1,0.75,0.857142857142857,0,NA,0.0416179201117552,6
"rand1",1.7,1,"SVP AR1Focus",1,0.25,0.4,0,NA,1.53524083174965,2
"rand1",1.7,1,"DeCAFS AR1",1,0.75,0.857142857142857,0,NA,0.0416179201117552,6
"rand1",1.7,1,"SVP AR1Focus multiscale",1,0.75,0.857142857142857,0,NA,0.0416179201117552,6
"none",1.8,1,"PELT inflated",1,1,1,1,NA,0.00114187222353702,1
"none",1.8,1,"PELT AR1 approximate",1,1,1,1,NA,0.00114187222353702,1
"none",1.8,1,"SVP AR1Focus",1,1,1,1,NA,0.00114187222353702,1
"none",1.8,1,"DeCAFS AR1",1,1,1,1,NA,0.00114187222353702,1
