"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"updown",1.6,1,"SVP both c=2",1,1,1,1,1,0.0157721120236929,8
"rand1",1.6,1,"SVP both c=1.9",0.875,0.875,0.875,1,14,0.0208898667916526,8
"rand1",1.6,1,"SVP both c=2",0.714285714285714,0.625,0.666666666666667,0,NA,0.0705554163723123,7
"none",1.7,1,"SVP both c=1.9",1,1,1,1,NA,5.6988239531717e-07,1
"none",1.7,1,"SVP both c=2",1,1,1,1,NA,5.6988239531717e-07,1
"up",1.7,1,"SVP both c=1.9",0.875,0.875,0.875,1,3,0.0155919060914512,8
"up",1.7,1,"SVP both c=2",0.875,0.875,0.875,1,3,0.0155919060914512,8
"updown",1.7,1,"SVP both c=1.9",0.875,0.875,0.875,1,3,0.0283496396411931,8
"updown",1.7,1,"SVP both c=2",0.875,0.875,0.875,1,3,0.0283496396411931,8
"rand1",1.7,1,"SVP both c=1.9",0.875,0.875,0.875,1,3,0.04868440386565,8
"rand1",1.7,1,"SVP both c=2",0.875,0.875,0.875,1,3,0.04868440386565,8
"none",1.8,1,"SVP both c=1.9",1,1,1,1,NA,0.000163311074746882,1
"none",1.8,1,"SVP both c=2",1,1,1,1,NA,0.000163311074746882,1
"up",1.8,1,"SVP both c=1.9",1,1,1,1,2,0.0270355440611735,8
"up",1.8,1,"SVP both c=2",1,1,1,1,2,0.0270355440611735,8
"updown",1.8,1,"SVP both c=1.9",1,1,1,1,2,0.0153614290652739,8
"updown",1.8,1,"SVP both c=2",1,1,1,1,2,0.0153614290652739,8
"rand1",1.8,1,"SVP both c=1.9",0.857142857142857,0.75,0.8,0,NA,0.0562700816746436,7
"rand1",1.8,1,"SVP both c=2",0.857142857142857,0.75,0.8,0,NA,0.057055060780458,7
"none",1.9,1,"SVP both c=1.9",1,1,1,1,NA,0.000601082494427619,1
"none",1.9,1,"SVP both c=2",1,1,1,1,NA,0.000601082494427619,1
"up",1.9,1,"SVP both c=1.9",0.625,0.625,0.625,1,5,0.0569098432319021,8
"up",1.9,1,"SVP both c=2",0.625,0.625,0.625,1,5,0.0569098432319021,8
"updown",1.9,1,"SVP both c=1.9",0.75,0.75,0.75,1,5,0.0370203081183329,8
"updown",1.9,1,"SVP both c=2",0.75,0.75,0.75,1,5,0.0370203081183329,8
"rand1",1.9,1,"SVP both c=1.9",0.857142857142857,0.75,0.8,0,NA,0.0419447630421088,7
"rand1",1.9,1,"SVP both c=2",0.857142857142857,0.75,0.8,0,NA,0.0419447630421088,7
"none",2,1,"SVP both c=1.9",1,1,1,1,NA,0.000247206074013623,1
"none",2,1,"SVP both c=2",1,1,1,1,NA,0.000247206074013623,1
"up",2,1,"SVP both c=1.9",0.875,0.875,0.875,1,4,0.0412098853980317,8
"up",2,1,"SVP both c=2",0.875,0.875,0.875,1,4,0.0412098853980317,8
"updown",2,1,"SVP both c=1.9",0.75,0.75,0.75,1,4,0.0471875287671291,8
"updown",2,1,"SVP both c=2",0.75,0.75,0.75,1,4,0.0471875287671291,8
"rand1",2,1,"SVP both c=1.9",0.714285714285714,0.625,0.666666666666667,0,NA,0.0831368098041336,7
"rand1",2,1,"SVP both c=2",0.833333333333333,0.625,0.714285714285714,0,NA,0.0993569085310218,6
"none",0.1,2,"SVP both c=1.9",0.5,1,0.666666666666667,0,NA,0.00102896023115036,2
"none",0.1,2,"SVP both c=2",1,1,1,1,NA,0.000845861497902204,1
"up",0.1,2,"SVP both c=1.9",0.5,0.125,0.2,0,NA,0.0186072122691548,2
"up",0.1,2,"SVP both c=2",0.5,0.125,0.2,0,NA,0.0186072122691548,2
"updown",0.1,2,"SVP both c=1.9",1,0.125,0.222222222222222,0,NA,0.00314692937106951,1
"updown",0.1,2,"SVP both c=2",1,0.125,0.222222222222222,0,NA,0.00314692937106951,1
"rand1",0.1,2,"SVP both c=1.9",0.5,0.125,0.2,0,NA,0.00621797079958128,2
"rand1",0.1,2,"SVP both c=2",0.5,0.125,0.2,0,NA,0.00621797079958128,2
"none",0.2,2,"SVP both c=1.9",1,1,1,1,NA,0.000179290050799832,1
"none",0.2,2,"SVP both c=2",1,1,1,1,NA,0.000179290050799832,1
"up",0.2,2,"SVP both c=1.9",0.5,0.125,0.2,0,NA,0.053885908330553,2
"up",0.2,2,"SVP both c=2",0.5,0.125,0.2,0,NA,0.053885908330553,2
"updown",0.2,2,"SVP both c=1.9",1,0.125,0.222222222222222,0,NA,0.0110270795719591,1
"updown",0.2,2,"SVP both c=2",1,0.125,0.222222222222222,0,NA,0.0110270795719591,1
"rand1",0.2,2,"SVP both c=1.9",1,0.125,0.222222222222222,0,NA,0.0235136659350331,1
"rand1",0.2,2,"SVP both c=2",1,0.125,0.222222222222222,0,NA,0.0235136659350331,1
"none",0.3,2,"SVP both c=1.9",1,1,1,1,NA,0.00088397629500583,1
"none",0.3,2,"SVP both c=2",1,1,1,1,NA,0.00088397629500583,1
"up",0.3,2,"SVP both c=1.9",0.333333333333333,0.125,0.181818181818182,0,NA,0.0593684511322031,3
"up",0.3,2,"SVP both c=2",0.333333333333333,0.125,0.181818181818182,0,NA,0.0593684511322031,3
"updown",0.3,2,"SVP both c=1.9",1,0.125,0.222222222222222,0,NA,0.0225055147799729,1
"updown",0.3,2,"SVP both c=2",1,0.125,0.222222222222222,0,NA,0.0225055147799729,1
"rand1",0.3,2,"SVP both c=1.9",0.25,0.125,0.166666666666667,0,NA,0.0264753385962786,4
"rand1",0.3,2,"SVP both c=2",0.25,0.125,0.166666666666667,0,NA,0.0264753385962786,4
"none",0.4,2,"SVP both c=1.9",1,1,1,1,NA,0.000694194421633641,1
"none",0.4,2,"SVP both c=2",1,1,1,1,NA,0.000694194421633641,1
"up",0.4,2,"SVP both c=1.9",0.75,0.375,0.5,0,NA,0.0530715634749283,4
"up",0.4,2,"SVP both c=2",0.75,0.375,0.5,0,NA,0.0530715634749283,4
"updown",0.4,2,"SVP both c=1.9",1,0.125,0.222222222222222,0,NA,0.0406112262678286,1
"updown",0.4,2,"SVP both c=2",1,0.125,0.222222222222222,0,NA,0.0406112262678286,1
"rand1",0.4,2,"SVP both c=1.9",0.25,0.125,0.166666666666667,0,NA,0.0422876661165918,4
"rand1",0.4,2,"SVP both c=2",0.25,0.125,0.166666666666667,0,NA,0.0448442442780471,4
"none",0.5,2,"SVP both c=1.9",1,1,1,1,NA,1.7134817530084e-05,1
"none",0.5,2,"SVP both c=2",1,1,1,1,NA,1.7134817530084e-05,1
"up",0.5,2,"SVP both c=1.9",0.5,0.25,0.333333333333333,0,NA,0.0864566533313148,4
"up",0.5,2,"SVP both c=2",0.5,0.25,0.333333333333333,0,NA,0.0864566533313148,4
"updown",0.5,2,"SVP both c=1.9",0.25,0.125,0.166666666666667,0,NA,0.0594008585972786,4
"updown",0.5,2,"SVP both c=2",0.25,0.125,0.166666666666667,0,NA,0.0591123892680806,4
"rand1",0.5,2,"SVP both c=1.9",0.4,0.25,0.307692307692308,0,NA,0.070702620624674,5
"rand1",0.5,2,"SVP both c=2",0.6,0.375,0.461538461538462,0,NA,0.0559454818950948,5
"none",0.6,2,"SVP both c=1.9",1,1,1,1,NA,3.73202413142035e-05,1
"none",0.6,2,"SVP both c=2",1,1,1,1,NA,3.73202413142035e-05,1
"up",0.6,2,"SVP both c=1.9",0.428571428571429,0.375,0.4,0,NA,0.0500905425819343,7
"up",0.6,2,"SVP both c=2",0.333333333333333,0.25,0.285714285714286,0,NA,0.0701200392879389,6
"updown",0.6,2,"SVP both c=1.9",0.166666666666667,0.125,0.142857142857143,0,NA,0.0852765151513298,6
"updown",0.6,2,"SVP both c=2",0.2,0.125,0.153846153846154,0,NA,0.0968298727860742,5
"rand1",0.6,2,"SVP both c=1.9",0.833333333333333,0.625,0.714285714285714,0,NA,0.0224356697631654,6
"rand1",0.6,2,"SVP both c=2",0.833333333333333,0.625,0.714285714285714,0,NA,0.0224356697631654,6
"none",0.7,2,"SVP both c=1.9",1,1,1,1,NA,0.000664472847182923,1
"none",0.7,2,"SVP both c=2",1,1,1,1,NA,0.000664472847182923,1
"up",0.7,2,"SVP both c=1.9",0.5,0.375,0.428571428571429,0,NA,0.0809970453239383,6
"up",0.7,2,"SVP both c=2",0.5,0.375,0.428571428571429,0,NA,0.0809970453239383,6
"updown",0.7,2,"SVP both c=1.9",0.5,0.25,0.333333333333333,0,NA,0.105588219873545,4
"updown",0.7,2,"SVP both c=2",0.25,0.125,0.166666666666667,0,NA,0.103238941912411,4
"rand1",0.7,2,"SVP both c=1.9",0.833333333333333,0.625,0.714285714285714,0,NA,0.0218129287003163,6
"rand1",0.7,2,"SVP both c=2",0.833333333333333,0.625,0.714285714285714,0,NA,0.0218129287003163,6
"none",0.8,2,"SVP both c=1.9",1,1,1,1,NA,0.00228191880018975,1
"none",0.8,2,"SVP both c=2",1,1,1,1,NA,0.00228191880018975,1
"up",0.8,2,"SVP both c=1.9",0.4,0.25,0.307692307692308,0,NA,0.145699299335847,5
"up",0.8,2,"SVP both c=2",0.6,0.375,0.461538461538462,0,NA,0.132374517188058,5
"updown",0.8,2,"SVP both c=1.9",0.571428571428571,0.5,0.533333333333333,0,NA,0.0564099660349398,7
"updown",0.8,2,"SVP both c=2",0.571428571428571,0.5,0.533333333333333,0,NA,0.0568365822994488,7
"rand1",0.8,2,"SVP both c=1.9",0.833333333333333,0.625,0.714285714285714,0,NA,0.0212591518047306,6
"rand1",0.8,2,"SVP both c=2",0.833333333333333,0.625,0.714285714285714,0,NA,0.0212591518047306,6
"none",0.9,2,"SVP both c=1.9",1,1,1,1,NA,0.000419134198111052,1
"none",0.9,2,"SVP both c=2",1,1,1,1,NA,0.000419134198111052,1
"up",0.9,2,"SVP both c=1.9",0.285714285714286,0.25,0.266666666666667,0,NA,0.114231876004807,7
"up",0.9,2,"SVP both c=2",0.428571428571429,0.375,0.4,0,NA,0.105754392571541,7
"updown",0.9,2,"SVP both c=1.9",0.875,0.875,0.875,1,4,0.023538565560725,8
"updown",0.9,2,"SVP both c=2",0.875,0.875,0.875,1,4,0.023538565560725,8
"rand1",0.9,2,"SVP both c=1.9",0.833333333333333,0.625,0.714285714285714,0,NA,0.0236223968017138,6
"rand1",0.9,2,"SVP both c=2",0.833333333333333,0.625,0.714285714285714,0,NA,0.0236223968017138,6
"none",1,2,"SVP both c=1.9",1,1,1,1,NA,0.000911417628092258,1
"none",1,2,"SVP both c=2",1,1,1,1,NA,0.000911417628092258,1
"up",1,2,"SVP both c=1.9",0.625,0.625,0.625,1,15,0.0418963630029275,8
"up",1,2,"SVP both c=2",0.625,0.625,0.625,1,15,0.0418963630029275,8
"updown",1,2,"SVP both c=1.9",0.875,0.875,0.875,1,6,0.0212964917085417,8
"updown",1,2,"SVP both c=2",0.875,0.875,0.875,1,6,0.0212964917085417,8
"rand1",1,2,"SVP both c=1.9",0.833333333333333,0.625,0.714285714285714,0,NA,0.0300634021542619,6
"rand1",1,2,"SVP both c=2",0.833333333333333,0.625,0.714285714285714,0,NA,0.0300634021542619,6
"none",1.1,2,"SVP both c=1.9",1,1,1,1,NA,3.16955255289414e-05,1
"none",1.1,2,"SVP both c=2",1,1,1,1,NA,3.16955255289414e-05,1
"up",1.1,2,"SVP both c=1.9",1,1,1,1,2,0.0138584269938178,8
"up",1.1,2,"SVP both c=2",1,1,1,1,2,0.0138584269938178,8
"updown",1.1,2,"SVP both c=1.9",0.75,0.75,0.75,1,30,0.0454288458998662,8
"updown",1.1,2,"SVP both c=2",0.75,0.75,0.75,1,30,0.0454288458998662,8
"rand1",1.1,2,"SVP both c=1.9",0.833333333333333,0.625,0.714285714285714,0,NA,0.0403324693549217,6
"rand1",1.1,2,"SVP both c=2",1,0.75,0.857142857142857,0,NA,0.0301999691867445,6
"none",1.2,2,"SVP both c=1.9",1,1,1,1,NA,0.000150270331169467,1
"none",1.2,2,"SVP both c=2",1,1,1,1,NA,0.000150270331169467,1
"up",1.2,2,"SVP both c=1.9",0.75,0.75,0.75,1,5,0.0201607624333406,8
"up",1.2,2,"SVP both c=2",0.75,0.75,0.75,1,5,0.0201607624333406,8
"updown",1.2,2,"SVP both c=1.9",0.625,0.625,0.625,1,14,0.0414216903825192,8
"updown",1.2,2,"SVP both c=2",0.625,0.625,0.625,1,14,0.0414216903825192,8
"rand1",1.2,2,"SVP both c=1.9",0.833333333333333,0.625,0.714285714285714,0,NA,0.0418188962517267,6
"rand1",1.2,2,"SVP both c=2",0.833333333333333,0.625,0.714285714285714,0,NA,0.0418188962517267,6
"none",1.3,2,"SVP both c=1.9",1,1,1,1,NA,0.00114460804570047,1
"none",1.3,2,"SVP both c=2",1,1,1,1,NA,0.00114460804570047,1
"up",1.3,2,"SVP both c=1.9",0.625,0.625,0.625,1,10,0.0518066888712958,8
"up",1.3,2,"SVP both c=2",0.625,0.625,0.625,1,10,0.0518066888712958,8
"updown",1.3,2,"SVP both c=1.9",0.5,0.5,0.5,1,18,0.0601593326973678,8
"updown",1.3,2,"SVP both c=2",0.5,0.5,0.5,1,18,0.0601593326973678,8
"rand1",1.3,2,"SVP both c=1.9",1,0.75,0.857142857142857,0,NA,0.0400762332017833,6
"rand1",1.3,2,"SVP both c=2",1,0.75,0.857142857142857,0,NA,0.0400762332017833,6
"none",1.4,2,"SVP both c=1.9",1,1,1,1,NA,0.000151801157577134,1
"none",1.4,2,"SVP both c=2",1,1,1,1,NA,0.000151801157577134,1
"up",1.4,2,"SVP both c=1.9",0.875,0.875,0.875,1,3,0.0242936787972947,8
"up",1.4,2,"SVP both c=2",0.875,0.875,0.875,1,3,0.0242936787972947,8
"updown",1.4,2,"SVP both c=1.9",1,1,1,1,2,0.0128461390801852,8
"updown",1.4,2,"SVP both c=2",1,1,1,1,2,0.0128461390801852,8
"rand1",1.4,2,"SVP both c=1.9",1,0.75,0.857142857142857,0,NA,0.0306940503880471,6
"rand1",1.4,2,"SVP both c=2",1,0.75,0.857142857142857,0,NA,0.0306940503880471,6
"none",1.5,2,"SVP both c=1.9",1,1,1,1,NA,0.00344536555530969,1
"none",1.5,2,"SVP both c=2",1,1,1,1,NA,0.00344536555530969,1
"up",1.5,2,"SVP both c=1.9",1,1,1,1,1,0.0113245872775551,8
"up",1.5,2,"SVP both c=2",1,1,1,1,1,0.0113245872775551,8
"updown",1.5,2,"SVP both c=1.9",0.875,0.875,0.875,1,7,0.0374482241977251,8
"updown",1.5,2,"SVP both c=2",0.875,0.875,0.875,1,7,0.0374482241977251,8
"rand1",1.5,2,"SVP both c=1.9",0.857142857142857,0.75,0.8,0,NA,0.028134187029344,7
"rand1",1.5,2,"SVP both c=2",0.857142857142857,0.75,0.8,0,NA,0.028134187029344,7
"none",1.6,2,"SVP both c=1.9",1,1,1,1,NA,0.000307819810758641,1
"none",1.6,2,"SVP both c=2",1,1,1,1,NA,0.000307819810758641,1
"up",1.6,2,"SVP both c=1.9",1,1,1,1,2,0.0145418806992722,8
"up",1.6,2,"SVP both c=2",1,1,1,1,2,0.0145418806992722,8
"updown",1.6,2,"SVP both c=1.9",0.875,0.875,0.875,1,3,0.0200243488929511,8
"updown",1.6,2,"SVP both c=2",0.875,0.875,0.875,1,3,0.0200243488929511,8
"rand1",1.6,2,"SVP both c=1.9",0.857142857142857,0.75,0.8,0,NA,0.0462438720126761,7
"rand1",1.6,2,"SVP both c=2",0.857142857142857,0.75,0.8,0,NA,0.0459164391255273,7
"none",1.7,2,"SVP both c=1.9",1,1,1,1,NA,0.000354229707539631,1
