"experiment","n","k","rep","method","time","batch","block_elapsed","detected"
"vary_n",319,0,9,"SVP Gaussian / none / c = 0.968",0.000236842105273114,380,0.0900000000037835,1
"vary_n",319,0,9,"SVP Gaussian / right / c = 1.642",7.23684210502792e-05,1064,0.0769999999974971,1
"vary_n",319,0,9,"SVP Gaussian / both / c = 1.987",0.00150000000004573,56,0.0840000000025611,1
"vary_n",319,0,10,"SVP Gaussian / both / c = 1.987",0.00148214285711999,56,0.0829999999987194,1
"vary_n",319,0,10,"SVP Gaussian / right / c = 1.642",7.23214285699214e-05,1120,0.080999999998312,1
"vary_n",319,0,10,"PELT",0.000241071428571818,448,0.108000000000175,1
"vary_n",319,0,10,"SVP Gaussian / none / c = 0.968",7.41071428559995e-05,1120,0.0829999999987194,1
"vary_n",319,0,11,"SVP Gaussian / both / c = 1.987",0.00150000000004573,56,0.0840000000025611,1
"vary_n",319,0,11,"PELT",0.000236607142856623,224,0.0529999999998836,1
"vary_n",319,0,11,"SVP Gaussian / none / c = 0.968",7.32142857097123e-05,1120,0.0819999999948777,1
"vary_n",319,0,11,"SVP Gaussian / right / c = 1.642",6.96428571440525e-05,1120,0.0780000000013388,1
"vary_n",319,0,12,"SVP Gaussian / both / c = 1.987",0.00149999999991581,56,0.0839999999952852,1
"vary_n",319,0,12,"SVP Gaussian / none / c = 0.968",7.23214285699214e-05,1120,0.080999999998312,1
"vary_n",319,0,12,"SVP Gaussian / right / c = 1.642",6.50000000041473e-05,800,0.0520000000033178,1
"vary_n",319,0,12,"PELT",0.000225454545447561,275,0.0619999999980791,1
"vary_n",319,0,13,"SVP Gaussian / both / c = 1.987",0.00158928571428467,56,0.0889999999999418,1
"vary_n",319,0,13,"SVP Gaussian / right / c = 1.642",7.05357142838433e-05,1120,0.0789999999979045,1
"vary_n",319,0,13,"PELT",0.000203636363624934,275,0.0559999999968568,1
"vary_n",319,0,13,"SVP Gaussian / none / c = 0.968",0.00027894736842044,190,0.0529999999998836,1
"vary_n",319,0,14,"SVP Gaussian / right / c = 1.642",7.23214285699214e-05,1120,0.080999999998312,1
"vary_n",319,0,14,"SVP Gaussian / none / c = 0.968",0.000178571428564499,336,0.0599999999976717,1
"vary_n",319,0,14,"SVP Gaussian / both / c = 1.987",0.00157142857148886,56,0.088000000003376,1
"vary_n",319,0,14,"PELT",0.000196428571429611,280,0.055000000000291,1
"vary_n",319,0,15,"SVP Gaussian / none / c = 0.968",0.000299999999994973,220,0.065999999998894,1
"vary_n",319,0,15,"SVP Gaussian / both / c = 1.987",0.00160714285721042,56,0.0900000000037835,1
"vary_n",319,0,15,"SVP Gaussian / right / c = 1.642",9.82142857148054e-05,560,0.055000000000291,1
"vary_n",319,0,15,"PELT",0.000423684210526469,380,0.161000000000058,1
"vary_n",319,0,16,"SVP Gaussian / both / c = 1.987",0.00169642857131943,56,0.0949999999938882,1
"vary_n",319,0,16,"SVP Gaussian / none / c = 0.968",7.50000000022867e-05,1120,0.0840000000025611,1
"vary_n",319,0,16,"SVP Gaussian / right / c = 1.642",7.41071428559995e-05,1120,0.0829999999987194,1
"vary_n",319,0,16,"PELT",0.00026315789475216,190,0.0500000000029104,1
"vary_n",319,0,17,"PELT",0.000192857142844462,280,0.0539999999964493,1
"vary_n",319,0,17,"SVP Gaussian / right / c = 1.642",9.82142857148054e-05,1120,0.110000000000582,1
"vary_n",319,0,17,"SVP Gaussian / both / c = 1.987",0.00151785714284155,56,0.0849999999991269,1
"vary_n",319,0,17,"SVP Gaussian / none / c = 0.968",0.000669642857116872,112,0.0749999999970896,2
"vary_n",319,0,18,"SVP Gaussian / right / c = 1.642",7.18181818228913e-05,1100,0.0790000000051805,1
"vary_n",319,0,18,"PELT",0.000231578947377305,380,0.088000000003376,1
"vary_n",319,0,18,"SVP Gaussian / both / c = 1.987",0.00164285714280205,56,0.091999999996915,1
"vary_n",319,0,18,"SVP Gaussian / none / c = 0.968",0.00029464285713792,224,0.065999999998894,1
"vary_n",319,0,19,"SVP Gaussian / both / c = 1.987",0.00155357142869304,56,0.0870000000068103,1
"vary_n",319,0,19,"SVP Gaussian / right / c = 1.642",7.05357142903397e-05,1120,0.0790000000051805,1
"vary_n",319,0,19,"PELT",0.000203030303038593,330,0.0670000000027358,1
"vary_n",319,0,19,"SVP Gaussian / none / c = 0.968",0.00027894736842044,190,0.0529999999998836,1
"vary_n",319,0,20,"SVP Gaussian / none / c = 0.968",0.000145408163267088,392,0.0570000000006985,1
"vary_n",319,0,20,"SVP Gaussian / right / c = 1.642",7.23214285699214e-05,1120,0.080999999998312,1
"vary_n",319,0,20,"PELT",0.000182142857140986,280,0.0509999999994761,1
"vary_n",319,0,20,"SVP Gaussian / both / c = 1.987",0.00151785714284155,56,0.0849999999991269,1
"vary_n",319,0,21,"PELT",0.000214285714277399,280,0.0599999999976717,1
"vary_n",319,0,21,"SVP Gaussian / right / c = 1.642",7.14285714301306e-05,1120,0.0800000000017462,1
"vary_n",319,0,21,"SVP Gaussian / none / c = 0.968",0.000116363636360885,550,0.0639999999984866,1
"vary_n",319,0,21,"SVP Gaussian / both / c = 1.987",0.00146428571432417,56,0.0820000000021537,1
"vary_n",319,0,22,"PELT",0.000226315789462349,380,0.0859999999956926,1
"vary_n",319,0,22,"SVP Gaussian / both / c = 1.987",0.00150000000004573,56,0.0840000000025611,1
"vary_n",319,0,22,"SVP Gaussian / none / c = 0.968",0.000312499999998701,224,0.069999999999709,1
"vary_n",319,0,22,"SVP Gaussian / right / c = 1.642",7.0909090910308e-05,1100,0.0780000000013388,1
"vary_n",319,0,23,"PELT",0.000239473684192298,380,0.0909999999930733,1
"vary_n",319,0,23,"SVP Gaussian / both / c = 1.987",0.0015357142857673,56,0.0860000000029686,1
"vary_n",319,0,23,"SVP Gaussian / none / c = 0.968",7.12500000008731e-05,800,0.0570000000006985,1
"vary_n",319,0,23,"SVP Gaussian / right / c = 1.642",7.14285714294467e-05,1064,0.0760000000009313,1
"vary_n",319,0,24,"SVP Gaussian / right / c = 1.642",7.27272727288602e-05,1100,0.0800000000017462,1
