"experiment","n","k","rep","method","time_baseline","detected_baseline","time_shortcuts","detected_shortcuts","detected_equal","speedup"
"vary_k",10000,10,4,"SVP BIC multiscale",0.239000000000004,11,0.256999999999948,11,TRUE,0.929961089494367
"vary_k",10000,10,5,"PELT",0.0100000000000193,11,0.0099999999999909,11,TRUE,1.00000000000284
"vary_k",10000,10,5,"SVP BIC",0.22999999999999,11,0.253000000000043,11,TRUE,0.909090909090715
"vary_k",10000,10,5,"SVP BIC calibrated",0.230999999999995,11,0.25100000000009,11,TRUE,0.920318725099252
"vary_k",10000,10,5,"SVP BIC multiscale",0.240000000000009,11,0.264999999999986,11,TRUE,0.905660377358572
"vary_k",10000,10,6,"PELT",0.0130000000000052,11,0.0099999999999909,11,TRUE,1.3000000000017
"vary_k",10000,10,6,"SVP BIC",0.227000000000004,11,0.244000000000028,11,TRUE,0.930327868852369
"vary_k",10000,10,6,"SVP BIC calibrated",0.228000000000009,11,0.244000000000028,11,TRUE,0.934426229508126
"vary_k",10000,10,6,"SVP BIC multiscale",0.239000000000004,11,0.266000000000076,11,TRUE,0.898496240601262
"vary_k",10000,10,7,"PELT",0.00899999999998613,12,0.00900000000001455,12,TRUE,0.999999999996842
"vary_k",10000,10,7,"SVP BIC",0.227000000000004,11,0.247000000000071,11,TRUE,0.919028340080724
"vary_k",10000,10,7,"SVP BIC calibrated",0.225999999999999,11,0.247999999999934,11,TRUE,0.911290322580884
"vary_k",10000,10,7,"SVP BIC multiscale",0.236999999999995,11,0.253000000000043,11,TRUE,0.936758893280453
"vary_k",10000,10,8,"PELT",0.00899999999998613,11,0.0110000000000809,11,TRUE,0.81818181817454
"vary_k",10000,10,8,"SVP BIC",0.225999999999999,11,0.242999999999938,11,TRUE,0.930041152263608
"vary_k",10000,10,8,"SVP BIC calibrated",0.225999999999999,11,0.246000000000095,11,TRUE,0.918699186991511
"vary_k",10000,10,8,"SVP BIC multiscale",0.236999999999995,11,0.252000000000066,11,TRUE,0.940476190475924
"vary_k",10000,10,9,"PELT",0.00899999999998613,11,0.0109999999999673,11,TRUE,0.81818181818299
"vary_k",10000,10,9,"SVP BIC",0.225999999999999,11,0.241999999999962,11,TRUE,0.933884297520804
"vary_k",10000,10,9,"SVP BIC calibrated",0.224999999999994,11,0.242999999999938,11,TRUE,0.925925925926138
"vary_k",10000,10,9,"SVP BIC multiscale",0.234999999999985,11,0.246999999999957,11,TRUE,0.951417004048688
"vary_k",10000,100,1,"PELT",0.00199999999995271,101,0.00199999999995271,101,TRUE,1
"vary_k",10000,100,1,"SVP BIC",0.0339999999999918,101,0.0360000000000582,101,TRUE,0.94444444444269
"vary_k",10000,100,1,"SVP BIC calibrated",0.0339999999999918,101,0.0359999999998308,101,TRUE,0.944444444448656
"vary_k",10000,100,1,"SVP BIC multiscale",0.0349999999999682,101,0.0339999999998781,101,TRUE,1.02941176470864
"vary_k",10000,100,10,"PELT",0.00199999999995271,101,0.00199999999995271,101,TRUE,1
"vary_k",10000,100,10,"SVP BIC",0.0339999999999918,101,0.0340000000001055,101,TRUE,0.999999999996656
"vary_k",10000,100,10,"SVP BIC calibrated",0.0339999999999918,101,0.0350000000000819,101,TRUE,0.971428571426064
"vary_k",10000,100,10,"SVP BIC multiscale",0.0350000000000819,101,0.0330000000001291,101,TRUE,1.06060606060439
"vary_k",10000,100,2,"PELT",0.00200000000006639,101,0.00199999999995271,101,TRUE,1.00000000005684
"vary_k",10000,100,2,"SVP BIC",0.0339999999999918,101,0.0339999999998781,101,TRUE,1.00000000000334
"vary_k",10000,100,2,"SVP BIC calibrated",0.0330000000000155,101,0.0340000000001055,101,TRUE,0.970588235291562
"vary_k",10000,100,2,"SVP BIC multiscale",0.0339999999999918,101,0.0340000000001055,101,TRUE,0.999999999996656
"vary_k",10000,100,3,"PELT",0.00200000000006639,101,0.00200000000018008,101,TRUE,0.999999999943155
"vary_k",10000,100,3,"SVP BIC",0.0330000000000155,101,0.0350000000000819,101,TRUE,0.94285714285538
"vary_k",10000,100,3,"SVP BIC calibrated",0.0340000000001055,101,0.0349999999998545,101,TRUE,0.971428571435624
"vary_k",10000,100,3,"SVP BIC multiscale",0.0349999999999682,101,0.0329999999999018,101,TRUE,1.06060606060825
"vary_k",10000,100,4,"PELT",0.00199999999995271,101,0.00199999999995271,101,TRUE,1
"vary_k",10000,100,4,"SVP BIC",0.0330000000000155,101,0.0339999999998781,101,TRUE,0.970588235298053
"vary_k",10000,100,4,"SVP BIC calibrated",0.0330000000000155,101,0.0350000000000819,101,TRUE,0.94285714285538
"vary_k",10000,100,4,"SVP BIC multiscale",0.0339999999999918,101,0.0330000000001291,101,TRUE,1.03030303029875
"vary_k",10000,100,5,"PELT",0.00199999999995271,101,0.000999999999976353,101,TRUE,2
"vary_k",10000,100,5,"SVP BIC",0.0339999999999918,101,0.0349999999998545,101,TRUE,0.971428571432375
"vary_k",10000,100,5,"SVP BIC calibrated",0.0329999999999018,101,0.0340000000001055,101,TRUE,0.970588235288218
"vary_k",10000,100,5,"SVP BIC multiscale",0.0349999999999682,102,0.0330000000001291,102,TRUE,1.06060606060095
"vary_k",10000,100,6,"PELT",0.00200000000006639,101,0.00199999999995271,101,TRUE,1.00000000005684
"vary_k",10000,100,6,"SVP BIC",0.0349999999999682,101,0.0360000000000582,101,TRUE,0.972222222219767
"vary_k",10000,100,6,"SVP BIC calibrated",0.0339999999999918,101,0.0360000000000582,101,TRUE,0.94444444444269
"vary_k",10000,100,6,"SVP BIC multiscale",0.0349999999999682,101,0.0329999999999018,101,TRUE,1.06060606060825
"vary_k",10000,100,7,"PELT",0.00199999999995271,101,0.00199999999995271,101,TRUE,1
"vary_k",10000,100,7,"SVP BIC",0.0330000000000155,101,0.0350000000000819,101,TRUE,0.94285714285538
"vary_k",10000,100,7,"SVP BIC calibrated",0.0339999999999918,101,0.0349999999998545,101,TRUE,0.971428571432375
"vary_k",10000,100,7,"SVP BIC multiscale",0.0349999999999682,101,0.0329999999999018,101,TRUE,1.06060606060825
"vary_k",10000,100,8,"PELT",0.00199999999995271,101,0.00199999999995271,101,TRUE,1
"vary_k",10000,100,8,"SVP BIC",0.0339999999999918,101,0.0350000000000819,101,TRUE,0.971428571426064
"vary_k",10000,100,8,"SVP BIC calibrated",0.0339999999999918,101,0.0339999999998781,101,TRUE,1.00000000000334
"vary_k",10000,100,8,"SVP BIC multiscale",0.0349999999999682,101,0.0339999999998781,101,TRUE,1.02941176470864
"vary_k",10000,100,9,"PELT",0.00199999999995271,101,0.000999999999976353,101,TRUE,2
"vary_k",10000,100,9,"SVP BIC",0.0339999999999918,101,0.0350000000000819,101,TRUE,0.971428571426064
"vary_k",10000,100,9,"SVP BIC calibrated",0.0339999999999918,101,0.0349999999998545,101,TRUE,0.971428571432375
"vary_k",10000,100,9,"SVP BIC multiscale",0.0340000000001055,101,0.0339999999998781,101,TRUE,1.00000000000669
"vary_k",10000,11,1,"PELT",0.00900000000001455,12,0.0099999999999909,12,TRUE,0.900000000002274
"vary_k",10000,11,1,"SVP BIC",0.20999999999998,12,0.22300000000007,12,TRUE,0.941704035874054
"vary_k",10000,11,1,"SVP BIC calibrated",0.210000000000008,12,0.222000000000094,12,TRUE,0.945945945945581
"vary_k",10000,11,1,"SVP BIC multiscale",0.221000000000004,12,0.235000000000014,12,TRUE,0.940425531914855
"vary_k",10000,11,10,"PELT",0.00800000000000978,12,0.00799999999992451,12,TRUE,1.00000000001066
"vary_k",10000,11,10,"SVP BIC",0.207999999999998,12,0.228000000000065,12,TRUE,0.912280701754117
"vary_k",10000,11,10,"SVP BIC calibrated",0.207999999999998,12,0.22300000000007,12,TRUE,0.932735426008667
"vary_k",10000,11,10,"SVP BIC multiscale",0.216999999999985,12,0.235000000000014,12,TRUE,0.92340425531903
"vary_k",10000,11,2,"PELT",0.00900000000001455,12,0.00799999999992451,12,TRUE,1.12500000001243
"vary_k",10000,11,2,"SVP BIC",0.207999999999998,12,0.226999999999975,12,TRUE,0.916299559471458
"vary_k",10000,11,2,"SVP BIC calibrated",0.207999999999998,12,0.221000000000004,12,TRUE,0.941176470588209
"vary_k",10000,11,2,"SVP BIC multiscale",0.217000000000013,12,0.230999999999995,12,TRUE,0.939393939394016
"vary_k",10000,11,3,"PELT",0.00899999999998613,12,0.00900000000001455,12,TRUE,0.999999999996842
"vary_k",10000,11,3,"SVP BIC",0.208999999999975,12,0.22199999999998,12,TRUE,0.941441441441414
"vary_k",10000,11,3,"SVP BIC calibrated",0.207999999999998,12,0.22199999999998,12,TRUE,0.936936936937012
"vary_k",10000,11,3,"SVP BIC multiscale",0.215000000000003,13,0.225000000000023,13,TRUE,0.955555555555471
