"n","PELT","PELT_nchanges","SVP","SVP_nchanges"
10575,0.0999999999999943,1,0.039999999999992,1
10575,0.100999999999999,1,0.0390000000000157,1
10575,0.103999999999985,1,0.0420000000000016,1
10575,0.100999999999999,1,0.0420000000000016,1
10575,0.0999999999999943,1,0.0409999999999968,1
10575,0.0999999999999943,1,0.0390000000000157,1
10575,0.0999999999999943,1,0.0379999999999825,1
12237,0.13300000000001,1,0.0480000000000018,1
12237,0.131999999999977,1,0.0530000000000257,1
12237,0.132000000000005,1,0.046999999999997,1
12237,0.131,1,0.046999999999997,1
12237,0.135999999999996,1,0.0480000000000018,1
12237,0.131,1,0.046999999999997,1
12237,0.132000000000005,1,0.046999999999997,1
12237,0.132000000000005,1,0.0480000000000018,1
12237,0.132000000000005,1,0.0460000000000207,1
12237,0.134999999999991,1,0.0480000000000018,1
12237,0.131,1,0.046999999999997,1
12237,0.132000000000005,1,0.0480000000000018,1
12237,0.132000000000005,1,0.0480000000000018,1
12237,0.131999999999977,1,0.046999999999997,1
12237,0.13300000000001,1,0.0529999999999973,1
12237,0.13300000000001,1,0.046999999999997,1
12237,0.13300000000001,1,0.0480000000000018,1
12237,0.134000000000015,1,0.046999999999997,1
12237,0.135999999999996,1,0.046999999999997,1
12237,0.131999999999977,1,0.046999999999997,1
14159,0.180000000000007,1,0.0600000000000023,1
14159,0.181000000000012,1,0.056999999999988,1
14159,0.180000000000007,1,0.0640000000000214,1
14159,0.185000000000002,1,0.0570000000000164,1
14159,0.179000000000002,1,0.056999999999988,1
14159,0.180999999999983,1,0.0600000000000023,1
14159,0.180000000000007,1,0.0589999999999975,1
14159,0.180999999999983,1,0.0589999999999975,1
14159,0.180000000000007,1,0.061000000000007,1
14159,0.182000000000016,1,0.0579999999999927,1
14159,0.180999999999983,1,0.0579999999999927,1
14159,0.180999999999983,1,0.0589999999999975,1
14159,0.179000000000002,1,0.0579999999999927,1
14159,0.179000000000002,1,0.0600000000000023,1
14159,0.179000000000002,1,0.0570000000000164,1
14159,0.178999999999974,1,0.0580000000000211,1
14159,0.177999999999997,1,0.0560000000000116,1
14159,0.179000000000002,1,0.056999999999988,1
14159,0.179000000000002,1,0.056999999999988,1
14159,0.179000000000002,1,0.0579999999999927,1
16384,0.236999999999995,1,0.0699999999999932,1
16384,0.236000000000018,1,0.0720000000000027,1
16384,0.240000000000009,1,0.0720000000000027,1
16384,0.238,1,0.0699999999999932,1
16384,0.24199999999999,1,0.070999999999998,1
16384,0.240000000000009,1,0.070999999999998,1
16384,0.236999999999995,1,0.070999999999998,1
16384,0.238,1,0.075000000000017,1
16384,0.258999999999986,1,0.0739999999999839,1
16384,0.247000000000014,1,0.0809999999999889,1
16384,0.241000000000014,1,0.0749999999999886,1
16384,0.239000000000004,1,0.0749999999999886,1
16384,0.24799999999999,1,0.0740000000000123,1
16384,0.239000000000004,1,0.0749999999999886,1
16384,0.242000000000019,1,0.070999999999998,1
16384,0.238,1,0.0759999999999934,1
16384,0.239000000000004,1,0.0740000000000123,1
16384,0.239000000000004,1,0.0720000000000027,1
16384,0.242999999999995,1,0.0749999999999886,1
16384,0.242000000000019,1,0.0739999999999839,1
