"experiment","n","k","method","baseline_median","shortcut_median","median_speedup","matching_segment_counts","paired_rows"
"vary_k",10000,28,"PELT",0.0040000000000191,0.00399999999990541,1.00000000002842,10,10
"vary_k",10000,28,"SVP BIC",0.0949999999999704,0.103999999999928,0.913461538461886,10,10
"vary_k",10000,28,"SVP BIC calibrated",0.0950000000000273,0.102499999999964,0.926829268293279,10,10
"vary_k",10000,28,"SVP BIC multiscale",0.0970000000000084,0.101999999999975,0.950980392157174,10,10
"vary_k",10000,29,"PELT",0.0040000000000191,0.00399999999990541,1.00000000002842,10,10
"vary_k",10000,29,"SVP BIC",0.0919999999999845,0.0994999999999208,0.924623115578469,10,10
"vary_k",10000,29,"SVP BIC calibrated",0.0919999999999845,0.099999999999909,0.920000000000682,10,10
"vary_k",10000,29,"SVP BIC multiscale",0.0939999999999941,0.0980000000001837,0.95918367346753,10,10
"vary_k",10000,30,"PELT",0.0040000000000191,0.0040000000000191,1,10,10
"vary_k",10000,30,"SVP BIC",0.0889999999999986,0.09699999999998,0.917525773196051,10,10
"vary_k",10000,30,"SVP BIC calibrated",0.089999999999975,0.09699999999998,0.927835051546325,10,10
"vary_k",10000,30,"SVP BIC multiscale",0.0919999999999845,0.0960000000000036,0.958333333333136,10,10
"vary_k",10000,31,"PELT",0.00399999999996226,0.0040000000000191,0.99999999998579,10,10
"vary_k",10000,31,"SVP BIC",0.0865000000000009,0.0914999999999964,0.945355191256878,10,10
"vary_k",10000,31,"SVP BIC calibrated",0.0865000000000009,0.09050000000002,0.955801104972174,10,10
"vary_k",10000,31,"SVP BIC multiscale",0.0889999999999986,0.0895000000000437,0.994413407820728,10,10
"vary_k",10000,32,"PELT",0.00399999999999068,0.00399999999990541,1.00000000002132,10,10
"vary_k",10000,32,"SVP BIC",0.0844999999999913,0.0884999999999536,0.954802259887408,10,10
"vary_k",10000,32,"SVP BIC calibrated",0.0840000000000032,0.0879999999999654,0.954545454545866,10,10
"vary_k",10000,32,"SVP BIC multiscale",0.0860000000000127,0.0869999999999891,0.988505747126707,10,10
"vary_k",10000,33,"PELT",0.0040000000000191,0.0040000000000191,1,10,10
"vary_k",10000,33,"SVP BIC",0.0824999999999818,0.085999999999899,0.95930232558231,10,10
"vary_k",10000,33,"SVP BIC calibrated",0.082000000000022,0.0860000000000127,0.953488372093139,10,10
"vary_k",10000,33,"SVP BIC multiscale",0.0840000000000032,0.0850000000000364,0.988235294117262,10,10
"vary_k",10000,34,"PELT",0.00399999999999068,0.00399999999990541,1.00000000002132,10,10
"vary_k",10000,34,"SVP BIC",0.0799999999999841,0.0834999999999582,0.958083832335619,10,10
"vary_k",10000,34,"SVP BIC calibrated",0.0800000000000125,0.0839999999998327,0.952380952382998,10,10
"vary_k",10000,34,"SVP BIC multiscale",0.0819999999999936,0.0830000000000837,0.987951807227842,10,10
"vary_k",10000,35,"PELT",0.00399999999999068,0.00300000000004274,1.33333333331123,10,10
"vary_k",10000,35,"SVP BIC",0.0780000000000314,0.08199999999988,0.951219512196897,10,10
"vary_k",10000,35,"SVP BIC calibrated",0.0779999999999745,0.08199999999988,0.951219512196203,10,10
