"pattern","jump","method","new_F1","new_Precision","new_Recall","new_CorrectNumCP","new_MSE","new_NumSegments","old_F1","old_Precision","old_Recall","old_CorrectNumCP","old_MSE","old_NumSegments","delta_F1","delta_Precision","delta_Recall","delta_CorrectNumCP","delta_MSE","delta_NumSegments"
"none",1.1,"PELT",0,0,0,0,9.0770756089652,78.72,0.0255056019293166,0.012920330711466,1,0,9.0770756089652,78.72,-0.0255056019293166,-0.012920330711466,-1,0,0,0
"none",1.1,"RFPOP",1,1,1,1,0.0026642344974823,1,0.946666666666667,0.929,1,0.89,0.0108454664298708,1.23,0.0533333333333333,0.071,0,0.11,-0.00818123193238847,-0.23
"none",1.1,"SVP MedianMood",0.99,0.99,0.99,0.99,0.0135209976603295,1.01,0.996666666666667,0.995,1,0.99,0.0134413116025729,1.01,-0.00666666666666671,-0.005,-0.01,0,7.96860577566335e-05,0
"none",1.1,"SVP Wilcoxon",0.99,0.99,0.99,0.99,0.0135594216687287,1.01,0.986666666666667,0.98,1,0.96,0.0175754649939007,1.04,0.0033333333333333,0.01,-0.01,0.03,-0.00401604332517194,-0.03
"none",1.2,"PELT",0,0,0,0,7.46340678608258,75.79,0.0268459638519398,0.0136122589320742,1,0,7.46340678608258,75.79,-0.0268459638519398,-0.0136122589320742,-1,0,0,0
"none",1.2,"RFPOP",1,1,1,1,0.00216743081107192,1,0.968333333333333,0.956666666666667,1,0.93,0.00550757193252528,1.12,0.0316666666666666,0.0433333333333333,0,0.0700000000000001,-0.00334014112145336,-0.12
"none",1.2,"SVP MedianMood",1,1,1,1,0.00795082048842736,1,0.983333333333333,0.975,1,0.95,0.00947545825684263,1.05,0.0166666666666667,0.025,0,0.05,-0.00152463776841527,-0.05
"none",1.2,"SVP Wilcoxon",1,1,1,1,0.00795082048842736,1,1,1,1,1,0.00795082048842736,1,0,0,0,0,0,0
"none",1.3,"PELT",0,0,0,0,14.9704638241452,77.31,0.0262980004080158,0.0133302820901844,1,0,14.9704638241452,77.31,-0.0262980004080158,-0.0133302820901844,-1,0,0,0
"none",1.3,"RFPOP",1,1,1,1,0.00264937743905609,1,0.961666666666667,0.948333333333333,1,0.92,0.0078354685552659,1.15,0.0383333333333333,0.0516666666666666,0,0.08,-0.00518609111620981,-0.15
"none",1.3,"SVP MedianMood",1,1,1,1,0.0155225156892837,1,0.993333333333333,0.99,1,0.98,0.0167800986624937,1.02,0.00666666666666671,0.01,0,0.02,-0.00125758297320997,-0.02
"none",1.3,"SVP Wilcoxon",1,1,1,1,0.0155225156892837,1,0.99,0.985,1,0.97,0.0171017236999363,1.03,0.01,0.015,0,0.03,-0.00157920801065262,-0.03
"none",1.4,"PELT",0,0,0,0,8.68199699279921,76.66,0.0263083546807589,0.0133335197722419,1,0,8.68199699279921,76.66,-0.0263083546807589,-0.0133335197722419,-1,0,0,0
"none",1.4,"RFPOP",0.98,0.98,0.98,0.98,0.00287702381022347,1.02,0.921857142857143,0.895833333333333,1,0.84,0.0132813874566274,1.33,0.0581428571428572,0.0841666666666666,-0.02,0.14,-0.0104043636464039,-0.31
"none",1.4,"SVP MedianMood",1,1,1,1,0.0103211194464687,1,1,1,1,1,0.0103211194464687,1,0,0,0,0,0,0
"none",1.4,"SVP Wilcoxon",1,1,1,1,0.0103211194464687,1,0.993333333333333,0.99,1,0.98,0.0120344510975373,1.02,0.00666666666666671,0.01,0,0.02,-0.00171333165106863,-0.02
"none",1.5,"PELT",0,0,0,0,7.86005887185143,76.9,0.0261957319076139,0.0132754427515836,1,0,7.86005887185143,76.9,-0.0261957319076139,-0.0132754427515836,-1,0,0,0
"none",1.5,"RFPOP",0.99,0.99,0.99,0.99,0.00313457112586029,1.01,0.935,0.910333333333333,1,0.85,0.0106987804495992,1.25,0.0549999999999999,0.0796666666666667,-0.01,0.14,-0.0075642093237389,-0.24
"none",1.5,"SVP MedianMood",1,1,1,1,0.00815542933002175,1,1,1,1,1,0.00815542933002175,1,0,0,0,0,0,0
"none",1.5,"SVP Wilcoxon",0.99,0.99,0.99,0.99,0.00843556155680338,1.01,0.993333333333333,0.99,1,0.98,0.00907761755998297,1.02,-0.0033333333333333,0,-0.01,0.01,-0.000642056003179596,-0.01
"none",1.6,"PELT",0,0,0,0,11.4107420219262,76.91,0.0261440813465793,0.0132486127882317,1,0,11.4107420219262,76.91,-0.0261440813465793,-0.0132486127882317,-1,0,0,0
"none",1.6,"RFPOP",0.99,0.99,0.99,0.99,0.00269202014215183,1.02,0.935,0.91,1,0.85,0.0105190941918699,1.24,0.0549999999999999,0.0800000000000001,-0.01,0.14,-0.00782707404971809,-0.22
"none",1.6,"SVP MedianMood",0.99,0.99,0.99,0.99,0.0157587975464125,1.01,0.993333333333333,0.99,1,0.98,0.0158155338443008,1.02,-0.0033333333333333,0,-0.01,0.01,-5.67362978883441e-05,-0.01
"none",1.6,"SVP Wilcoxon",1,1,1,1,0.0154547963950271,1,0.996666666666667,0.995,1,0.99,0.0162430118303601,1.01,0.0033333333333333,0.005,0,0.01,-0.000788215435333002,-0.01
"none",1.7,"PELT",0,0,0,0,8.91720772716803,78.12,0.0257230719202328,0.0130322227090071,1,0,8.91720772716803,78.12,-0.0257230719202328,-0.0130322227090071,-1,0,0,0
"none",1.7,"RFPOP",1,1,1,1,0.00214465493192065,1,0.953333333333333,0.936666666666667,1,0.9,0.0096084275615717,1.18,0.0466666666666666,0.0633333333333334,0,0.0999999999999999,-0.00746377262965105,-0.18
"none",1.7,"SVP MedianMood",0.99,0.99,0.99,0.99,0.0103715149642529,1.01,0.996666666666667,0.995,1,0.99,0.0103715149642529,1.01,-0.00666666666666671,-0.005,-0.01,0,0,0
"none",1.7,"SVP Wilcoxon",0.98,0.98,0.98,0.98,0.0114196673959714,1.02,0.99,0.985,1,0.97,0.0125562981337007,1.03,-0.01,-0.005,-0.02,0.01,-0.0011366307377293,-0.01
"none",1.8,"PELT",0,0,0,0,13.298076209305,79.32,0.0253572970013857,0.0128445702944457,1,0,13.298076209305,79.32,-0.0253572970013857,-0.0128445702944457,-1,0,0,0
"none",1.8,"RFPOP",1,1,1,1,0.00213875279451308,1,0.950666666666667,0.9325,1,0.89,0.00765819140164177,1.19,0.0493333333333333,0.0675,0,0.11,-0.00551943860712869,-0.19
"none",1.8,"SVP MedianMood",1,1,1,1,0.0144460635604784,1,0.996666666666667,0.995,1,0.99,0.0146034911736425,1.01,0.0033333333333333,0.005,0,0.01,-0.000157427613164132,-0.01
"none",1.8,"SVP Wilcoxon",1,1,1,1,0.0144460635604784,1,0.993333333333333,0.99,1,0.98,0.0196966369793933,1.02,0.00666666666666671,0.01,0,0.02,-0.00525057341891496,-0.02
"none",1.9,"PELT",0,0,0,0,9.37723669925553,79.79,0.0252730765315747,0.0128016477184539,1,0,9.37723669925553,79.79,-0.0252730765315747,-0.0128016477184539,-1,0,0,0
"none",1.9,"RFPOP",0.99,0.99,0.99,0.99,0.00350759111764699,1.01,0.961666666666667,0.948333333333333,1,0.92,0.00794886153200901,1.15,0.0283333333333333,0.0416666666666666,-0.01,0.07,-0.00444127041436202,-0.14
"none",1.9,"SVP MedianMood",1,1,1,1,0.0109773169224736,1,0.993333333333333,0.99,1,0.98,0.0115615070219929,1.02,0.00666666666666671,0.01,0,0.02,-0.000584190099519282,-0.02
"none",1.9,"SVP Wilcoxon",1,1,1,1,0.0109773169224736,1,0.993333333333333,0.99,1,0.98,0.0117665847686207,1.02,0.00666666666666671,0.01,0,0.02,-0.000789267846147133,-0.02
"none",2,"PELT",0,0,0,0,15.9620299932843,78.46,0.0256493580943828,0.0129945440010144,1,0,15.9620299932843,78.46,-0.0256493580943828,-0.0129945440010144,-1,0,0,0
