"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","MSE","NumSegments"
"none",0.7,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.0010550173683794,1
"up",0.7,1,"PELT",0.625,0.625,0.625,1,0.0239028032904601,8
"up",0.7,1,"SVP",0.428571428571429,0.375,0.4,0,0.058131501707834,7
"up",0.7,1,"SVP (BIC)",0.4,0.25,0.307692307692308,0,0.121759255471489,5
"up",0.7,1,"SVP FOCUS TRUE/TRUE c=1.8",0.5,0.375,0.428571428571429,0,0.100571235277548,6
"updown",0.7,1,"PELT",0.25,0.25,0.25,1,0.0393700877974204,8
"updown",0.7,1,"SVP",0.285714285714286,0.25,0.266666666666667,0,0.056646865207553,7
"updown",0.7,1,"SVP (BIC)",0.5,0.25,0.333333333333333,0,0.0917801987688032,4
"updown",0.7,1,"SVP FOCUS TRUE/TRUE c=1.8",0.285714285714286,0.25,0.266666666666667,0,0.0655941583804004,7
"rand1",0.7,1,"PELT",0.333333333333333,0.25,0.285714285714286,0,0.0526005168298914,6
"rand1",0.7,1,"SVP",0.4,0.25,0.307692307692308,0,0.0347146427822159,5
"rand1",0.7,1,"SVP (BIC)",0.25,0.125,0.166666666666667,0,0.0664171056261442,4
"rand1",0.7,1,"SVP FOCUS TRUE/TRUE c=1.8",0.25,0.125,0.166666666666667,0,0.0656446610583014,4
"none",0.8,1,"PELT",1,1,1,1,0.00313425527151717,1
"none",0.8,1,"SVP",1,1,1,1,0.00313425527151717,1
"none",0.8,1,"SVP (BIC)",1,1,1,1,0.00313425527151717,1
"none",0.8,1,"SVP FOCUS TRUE/TRUE c=1.8",1,1,1,1,0.00313425527151717,1
"up",0.8,1,"PELT",0.75,0.75,0.75,1,0.0141457028902486,8
"up",0.8,1,"SVP",0.571428571428571,0.5,0.533333333333333,0,0.0809901555311743,7
"up",0.8,1,"SVP (BIC)",0.5,0.375,0.428571428571429,0,0.106103185758634,6
