"experiment","n","k","rep","method","time","detected"
"vary_n",1237,0,10,"SVP AR1",0.00100000000000033,1
"vary_n",1237,0,10,"SVP AR1 estimated rho",0.00200000000000067,1
"vary_n",1695,0,1,"SVP BIC",0.00699999999999967,13
"vary_n",1695,0,1,"SVP AR1",0.00300000000000011,1
"vary_n",1695,0,1,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,2,"SVP BIC",0.00700000000000056,9
"vary_n",1695,0,2,"SVP AR1",0.00300000000000011,1
"vary_n",1695,0,2,"SVP AR1 estimated rho",0.00200000000000067,1
"vary_n",1695,0,3,"SVP BIC",0.00599999999999934,16
"vary_n",1695,0,3,"SVP AR1",0.00200000000000067,1
"vary_n",1695,0,3,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,4,"SVP BIC",0.00600000000000023,10
"vary_n",1695,0,4,"SVP AR1",0.00199999999999978,1
"vary_n",1695,0,4,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,5,"SVP BIC",0.00699999999999967,12
"vary_n",1695,0,5,"SVP AR1",0.00300000000000011,1
"vary_n",1695,0,5,"SVP AR1 estimated rho",0.00199999999999978,1
"vary_n",1695,0,6,"SVP BIC",0.00600000000000023,18
"vary_n",1695,0,6,"SVP AR1",0.00199999999999978,1
"vary_n",1695,0,6,"SVP AR1 estimated rho",0.00200000000000067,1
"vary_n",1695,0,7,"SVP BIC",0.00600000000000023,16
"vary_n",1695,0,7,"SVP AR1",0.00200000000000067,1
"vary_n",1695,0,7,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,8,"SVP BIC",0.00600000000000023,17
"vary_n",1695,0,8,"SVP AR1",0.00200000000000067,1
"vary_n",1695,0,8,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,9,"SVP BIC",0.00900000000000034,8
"vary_n",1695,0,9,"SVP AR1",0.00200000000000067,1
"vary_n",1695,0,9,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,10,"SVP BIC",0.00699999999999967,13
"vary_n",1695,0,10,"SVP AR1",0.00300000000000011,1
"vary_n",1695,0,10,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",2323,0,1,"SVP BIC",0.0139999999999993,11
"vary_n",2323,0,1,"SVP AR1",0.00399999999999956,1
"vary_n",2323,0,1,"SVP AR1 estimated rho",0.004999999999999,1
"vary_n",2323,0,2,"SVP BIC",0.0120000000000005,14
"vary_n",2323,0,2,"SVP AR1",0.004999999999999,1
"vary_n",2323,0,2,"SVP AR1 estimated rho",0.00399999999999956,1
"vary_n",2323,0,3,"SVP BIC",0.00900000000000034,22
"vary_n",2323,0,3,"SVP AR1",0.00500000000000078,1
"vary_n",2323,0,3,"SVP AR1 estimated rho",0.00399999999999956,1
"vary_n",2323,0,4,"SVP BIC",0.0129999999999999,13
"vary_n",2323,0,4,"SVP AR1",0.004999999999999,1
"vary_n",2323,0,4,"SVP AR1 estimated rho",0.004999999999999,1
"vary_n",2323,0,5,"SVP BIC",0.0139999999999993,11
"vary_n",2323,0,5,"SVP AR1",0.004999999999999,1
"vary_n",2323,0,5,"SVP AR1 estimated rho",0.00399999999999956,1
"vary_n",2323,0,6,"SVP BIC",0.0120000000000005,14
"vary_n",2323,0,6,"SVP AR1",0.00399999999999956,1
"vary_n",2323,0,6,"SVP AR1 estimated rho",0.00500000000000078,1
"vary_n",2323,0,7,"SVP BIC",0.0139999999999993,13
"vary_n",2323,0,7,"SVP AR1",0.00500000000000078,1
"vary_n",2323,0,7,"SVP AR1 estimated rho",0.00400000000000134,1
"vary_n",2323,0,8,"SVP BIC",0.00899999999999856,18
"vary_n",2323,0,8,"SVP AR1",0.00500000000000078,1
"vary_n",2323,0,8,"SVP AR1 estimated rho",0.00399999999999956,1
"vary_n",2323,0,9,"SVP BIC",0.00900000000000034,19
"vary_n",2323,0,9,"SVP AR1",0.00399999999999956,1
"vary_n",2323,0,9,"SVP AR1 estimated rho",0.00500000000000078,1
"vary_n",2323,0,10,"SVP BIC",0.0120000000000005,15
"vary_n",2323,0,10,"SVP AR1",0.00400000000000134,1
"vary_n",2323,0,10,"SVP AR1 estimated rho",0.00500000000000078,1
"vary_n",3183,0,1,"SVP BIC",0.0229999999999997,10
"vary_n",3183,0,1,"SVP AR1",0.00900000000000034,1
"vary_n",3183,0,1,"SVP AR1 estimated rho",0.0080000000000009,1
